set	set_label	status	tier	tool	tool_label	metric	n	n_clusters	true_value_constant	mae	mae_ci_lo	mae_ci_hi	rmse	rmse_ci_lo	rmse_ci_hi	signed_bias_pred_minus_true	bias_ci_lo	bias_ci_hi	r2_coefficient_of_determination	r2_coefficient_of_determination_ci_lo	r2_coefficient_of_determination_ci_hi	pearson_r_squared_NOT_R2	r2_omitted_reason
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	completeness	1000	803	True	2.972426611	2.6474062363997954	3.3182404214419767	6.014786910832875	5.381189743168815	6.589604916586322	-2.972426611	-3.318240421441977	-2.6474062363997954					R^2 is undefined: the true completeness is constant at 100% for all 1000 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	checkm2	CheckM2 1.0.1	completeness	1000	803	True	0.4511200000000002	0.3190901682152185	0.6001370518252777	2.249215374302781	1.604649331559399	2.8786889436984024	-0.4511200000000002	-0.6001370518252777	-0.3190901682152185					R^2 is undefined: the true completeness is constant at 100% for all 1000 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	cocopye	CoCoPyE 0.5.0	completeness	1000	803	True	2.6084536472310864	2.2952356974016053	2.9452929737110622	5.632382684609849	5.014345418517646	6.241895806621802	-2.6084536472310864	-2.9452929737110622	-2.2952356974016053					R^2 is undefined: the true completeness is constant at 100% for all 1000 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	deepcheck	DeepCheck	completeness	1000	803	True	6.6112978515625	6.063183851459312	7.165332125251908	11.124742303672994	10.332623636596598	11.934503552774936	4.400948608398438	3.76484709078012	5.054528200063339					R^2 is undefined: the true completeness is constant at 100% for all 1000 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	contamination	1000	803	False	4.453452160275677	4.121883812189373	4.792029895134867	6.772518352675309	6.132658715921999	7.43248934992398	-0.1355621172905156	-0.5949579560188135	0.3005196112725166	0.9406227227012852	0.9283067332847376	0.9513593721607386	0.9408855023396407	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	checkm2	CheckM2 1.0.1	contamination	1000	803	False	17.661892481683402	16.510105631285878	18.778819690336316	25.23848722734899	23.90581170607492	26.542919848593968	-14.261714663148515	-15.593799180511477	-12.96018867102942	0.1753939087858974	0.0863532979672487	0.2594772099937376	0.4756544039288595	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	cocopye	CoCoPyE 0.5.0	contamination	1000	803	False	19.14068970973646	18.04250157822005	20.29169797683361	26.72869859204681	25.616310318751605	27.852288541985125	-18.41844722222668	-19.606929641446552	-17.27655207066593	0.0751410031898962	0.0086533695229914	0.1374532950721437	0.7142834517723246	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	deepcheck	DeepCheck	contamination	1000	803	False	25.704923896847436	24.34716347002204	27.09590014050012	33.9781108824303	32.29440077424578	35.6758198029079	-20.585649024365537	-22.273219337626	-18.873629116015877	-0.4945772140176057	-0.6528200869147395	-0.3577999980501757	0.2959317946432209	
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v5	MAGICC v5 (released, v0.3.0)	completeness	1000	1000	False	3.153890706633181	2.8941616623273334	3.411516591354186	5.245828049671358	4.749667963269326	5.740729561828009	0.9695422635955973	0.6428714744717973	1.2968649527914238	0.897210967661514	0.8768559479061228	0.9156508073231044	0.9009957720486076	
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	checkm2	CheckM2 1.0.1	completeness	1000	1000	False	7.993850021155766	7.640436571252238	8.364727093954041	9.843362051336328	9.45966912827637	10.239179841505916	-4.730181504404404	-5.285841536706507	-4.193801885139743	0.6380858242272096	0.6040972896780036	0.6692735266280238	0.7289338639488994	
