set	set_label	status	tier	tool	tool_label	tool_role	n	n_clusters	clustered_bootstrap	true_class	pred_class	row_frac
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	796	803	True	low	low	0.9974937343358395
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	checkm2	CheckM2 1.0.1	competitor	200	803	True	high	high	1.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	checkm2	CheckM2 1.0.1	competitor	0	803	True	high	medium	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	checkm2	CheckM2 1.0.1	competitor	0	803	True	high	low	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	checkm2	CheckM2 1.0.1	competitor	1	803	True	medium	high	0.5
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	checkm2	CheckM2 1.0.1	competitor	1	803	True	medium	medium	0.5
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	checkm2	CheckM2 1.0.1	competitor	0	803	True	medium	low	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	checkm2	CheckM2 1.0.1	competitor	56	803	True	low	high	0.07017543859649122
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	checkm2	CheckM2 1.0.1	competitor	91	803	True	low	medium	0.11403508771929824
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	checkm2	CheckM2 1.0.1	competitor	651	803	True	low	low	0.8157894736842105
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	197	803	True	high	high	0.985
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	3	803	True	high	medium	0.015
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	0	803	True	high	low	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	0	803	True	medium	high	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	2	803	True	medium	medium	1.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	0	803	True	medium	low	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	1	803	True	low	high	0.0012531328320802004
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	11	803	True	low	medium	0.013784461152882205
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	786	803	True	low	low	0.9849624060150376
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	deepcheck	DeepCheck	competitor	199	803	True	high	high	0.995
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	deepcheck	DeepCheck	competitor	1	803	True	high	medium	0.005
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	deepcheck	DeepCheck	competitor	0	803	True	high	low	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	deepcheck	DeepCheck	competitor	2	803	True	medium	high	1.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	deepcheck	DeepCheck	competitor	0	803	True	medium	medium	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	deepcheck	DeepCheck	competitor	0	803	True	medium	low	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	deepcheck	DeepCheck	competitor	127	803	True	low	high	0.15914786967418545
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	deepcheck	DeepCheck	competitor	199	803	True	low	medium	0.24937343358395989
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	deepcheck	DeepCheck	competitor	472	803	True	low	low	0.5914786967418546
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	33	1000	False	high	high	0.9705882352941176
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1	1000	False	high	medium	0.029411764705882353
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	0	1000	False	high	low	0.0
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	13	1000	False	medium	high	0.1566265060240964
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	66	1000	False	medium	medium	0.7951807228915663
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	4	1000	False	medium	low	0.04819277108433735
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	2	1000	False	low	high	0.0022650056625141564
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	22	1000	False	low	medium	0.02491506228765572
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	859	1000	False	low	low	0.9728199320498301
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	31	1000	False	high	high	0.9117647058823529
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	3	1000	False	high	medium	0.08823529411764706
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	0	1000	False	high	low	0.0
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	8	1000	False	medium	high	0.0963855421686747
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	70	1000	False	medium	medium	0.8433734939759037
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	5	1000	False	medium	low	0.060240963855421686
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	2	1000	False	low	high	0.0022650056625141564
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	18	1000	False	low	medium	0.020385050962627407
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	863	1000	False	low	low	0.9773499433748585
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	29	1000	False	high	high	0.8529411764705882
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	4	1000	False	high	medium	0.11764705882352941
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	1	1000	False	high	low	0.029411764705882353
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	5	1000	False	medium	high	0.060240963855421686
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	75	1000	False	medium	medium	0.9036144578313253
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	3	1000	False	medium	low	0.03614457831325301
