set	set_label	status	tier	subset	tool	tool_label	n	n_clusters	n_true_high	n_true_medium	n_true_low	macro_f1	macro_f1_ci_lo	macro_f1_ci_hi	accuracy	accuracy_ci_lo	accuracy_ci_hi	high_precision	high_recall	high_f1
set_E	Set E (realistic mixture)	current	primary	out_of_domain	deepcheck	DeepCheck	132	130	0	0	132	0.30894308943089427	0.29629629629629634	0.31918170207143587	0.8636363636363636	0.8	0.9185482562854824	0.0	0.0	0.0
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	all	magicc_v5	MAGICC v5 (released, v0.3.0)	1000	100	30	70	900	0.6921733720000319	0.6234078733511172	0.7548176555437021	0.93	0.913	0.946	0.6521739130434783	0.5	0.5660377358490566
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	all	checkm2	CheckM2 1.0.1	1000	100	30	70	900	0.263456491102284	0.2242262475971433	0.3009709004323466	0.271	0.23797500000000002	0.303	0.18633540372670807	1.0	0.31413612565445026
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	all	cocopye	CoCoPyE 0.5.0	1000	100	30	70	900	0.41537415839782493	0.3896054497908208	0.44015743609177577	0.802	0.775	0.827	0.0	0.0	0.0
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	all	deepcheck	DeepCheck	1000	100	30	70	900	0.24307819995475768	0.19590554268241508	0.2931266519583996	0.25	0.22	0.282	0.23076923076923078	0.3	0.2608695652173913
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	in_domain	magicc_v5	MAGICC v5 (released, v0.3.0)	1000	100	30	70	900	0.6921733720000319	0.620233204001421	0.7550172003261896	0.93	0.914	0.945	0.6521739130434783	0.5	0.5660377358490566
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	in_domain	checkm2	CheckM2 1.0.1	1000	100	30	70	900	0.263456491102284	0.2251570006362787	0.3038142459422522	0.271	0.238	0.3050249999999999	0.18633540372670807	1.0	0.31413612565445026
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	in_domain	cocopye	CoCoPyE 0.5.0	1000	100	30	70	900	0.41537415839782493	0.3893784425280488	0.4396401477409903	0.802	0.775	0.828	0.0	0.0	0.0
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	in_domain	deepcheck	DeepCheck	1000	100	30	70	900	0.24307819995475768	0.19727514299541568	0.291811914304444	0.25	0.219	0.282	0.23076923076923078	0.3	0.2608695652173913
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	all	magicc_v5	MAGICC v5 (released, v0.3.0)	1000	100	13	100	887	0.7881086301581437	0.6899767352810393	0.8624129181233449	0.958	0.946	0.97	0.5333333333333333	0.6153846153846154	0.5714285714285715
