set	set_label	status	tier	tool	tool_label	tool_role	n	n_clusters	clustered_bootstrap	mimag_class	support_true	support_true_frac	n_predicted	precision	precision_ci_lo	precision_ci_hi	recall	recall_ci_lo	recall_ci_hi	f1	f1_ci_lo	f1_ci_hi
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	1000	1000	False	low	883	0.883	868	0.9942396313364056	0.9885189437428243	0.9988425925925926	0.9773499433748585	0.967044517271693	0.9865625258347925	0.9857224443175329	0.9799650813592847	0.9909504818876703
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	1000	1000	False	medium	83	0.083	91	0.7692307692307693	0.6853932584269663	0.8571428571428571	0.8433734939759037	0.7624851190476191	0.9180411508865841	0.8045977011494253	0.7407305095150398	0.8659965635738831
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	1000	1000	False	high	34	0.034	35	0.8285714285714286	0.6923076923076923	0.9444444444444444	0.8529411764705882	0.7249784482758621	0.9666666666666667	0.8405797101449276	0.7352941176470589	0.9230769230769231
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	1000	1000	False	low	883	0.883	871	0.9954075774971297	0.9905809341950647	0.998868778280543	0.9818799546998868	0.9721269818111078	0.9907626568469897	0.9885974914481186	0.9832650448527996	0.9932746661739592
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	1000	1000	False	medium	83	0.083	94	0.7978723404255319	0.7157894736842105	0.879142857142857	0.9036144578313253	0.8354393149664929	0.9647058823529412	0.8474576271186441	0.7861168455821635	0.9036229664420393
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	checkm2	CheckM2 1.0.1	competitor	1000	1000	False	high	34	0.034	162	0.19753086419753085	0.13985200845665965	0.2625080128205128	0.9411764705882353	0.8484848484848485	1.0	0.326530612244898	0.2424242424242424	0.41177986658580956
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	checkm2	CheckM2 1.0.1	competitor	1000	1000	False	low	883	0.883	205	0.9902439024390244	0.9744897959183674	1.0	0.22989807474518686	0.2036405005688282	0.25646794150731156	0.37316176470588236	0.33799521695470647	0.40761220519813884
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	checkm2	CheckM2 1.0.1	competitor	1000	1000	False	medium	83	0.083	633	0.08214849921011058	0.061513557522485274	0.10443098738066071	0.6265060240963856	0.5227146464646465	0.729172794117647	0.14525139664804468	0.11014094255332535	0.18028339620495518
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	cocopye	CoCoPyE 0.5.0	competitor	1000	1000	False	high	34	0.034	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	cocopye	CoCoPyE 0.5.0	competitor	1000	1000	False	low	883	0.883	787	0.9440914866581956	0.9281984334203656	0.9589756722151088	0.8414496036240091	0.8169491525423729	0.8652359743880129	0.8898203592814372	0.8735076273597779	0.905042526620858
