set	set_label	status	tier	tool	tool_label	tool_role	metric	n	n_clusters	true_value_variance	true_value_constant	true_value_min	true_value_max	mae	mae_ci_lo	mae_ci_hi	rmse	rmse_ci_lo	rmse_ci_hi	bias	bias_ci_lo	bias_ci_hi	r2	r2_ci_lo	r2_ci_hi	r2_pearson_sq	r2_pearson_sq_ci_lo	r2_pearson_sq_ci_hi	r2_omitted_reason
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	contamination	1000	1000	835.7012587862166	False	0.0	99.88232114857072	5.051978223224069	4.67887414035318	5.43970704278253	7.944632799078396	7.18001934908132	8.74062348833243	-3.3894195489954533	-3.8333933808346354	-2.949647000507404	0.924473979608617	0.9089926001376726	0.9387124432057956	0.9390292842821111	0.9254009499669048	0.9511425702913674	
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	checkm2	CheckM2 1.0.1	competitor	contamination	1000	1000	835.7012587862166	False	0.0	99.88232114857072	42.37174453000813	40.74199473388218	44.029797256439814	49.955717330411524	48.4314941179282	51.48921407774829	-42.36055974479545	-44.01810775938356	-40.72993873970957	-1.9862031051868718	-2.188247264278119	-1.7965254760266067	0.3242554373403898	0.2830798297017807	0.3673668375619948	
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	cocopye	CoCoPyE 0.5.0	competitor	contamination	1000	1000	835.7012587862166	False	0.0	99.88232114857072	34.06761223194041	32.56077208601346	35.601818428499335	42.04254567204721	40.60556070640356	43.4853441830424	-32.90216491540823	-34.564698656386824	-31.290784395295688	-1.1150807516473362	-1.2648452585039665	-0.9749187410370408	0.28369259862507445	0.23483935879262743	0.33316915681983666	
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	deepcheck	DeepCheck	competitor	contamination	1000	1000	835.7012587862166	False	0.0	99.88232114857072	44.55567753814589	42.8650971443121	46.25610708617699	52.15487753250576	50.60836481612333	53.70979611068391	-44.55290579207112	-46.25521852093402	-42.86316864297599	-2.2549086432889043	-2.4735887642157985	-2.048237945713448	0.262505291799801	0.22278547419270175	0.3081680283677817	
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	completeness	1000	1000	237.2289297106215	False	50.08139633487758	100.0	5.1759362701545975	4.772119333618833	5.596064651991617	8.43168125504886	7.654687608289757	9.241713033923878	1.4317592447423257	0.9277440662019256	1.9185356776801825	0.7003179634395187	0.6407737961388101	0.7534764454688707	0.7123932969492441	0.6603288365750318	0.760956071624749	
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	completeness	1000	1000	237.2289297106215	False	50.08139633487758	100.0	5.203892952530291	4.816460265684378	5.6121273142288794	8.347663261737408	7.584792200755501	9.122575667943591	1.6472394827423256	1.1613319369528297	2.136166280611834	0.7062606065105033	0.6489912413830945	0.7570505646241932	0.7211230989520274	0.670595937692401	0.7669606347029696	
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	completeness	1000	1000	237.2289297106215	False	50.08139633487758	100.0	4.055917874359668	3.7367382717537128	4.3991974178927205	6.747012535109389	6.077747692062532	7.458405275349128	0.3319485767423255	-0.07731696946886953	0.7414510190732063	0.8081086560376407	0.7644711405687127	0.8449211551315967	0.8098006217445454	0.7683276528797331	0.84597874794335	
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	checkm2	CheckM2 1.0.1	competitor	completeness	1000	1000	237.2289297106215	False	50.08139633487758	100.0	9.887259516262748	9.278286258020458	10.536252429208597	14.11915537808762	13.364567643500601	14.894491970834027	8.226491982742326	7.550192508634754	8.956782333789796	0.15967015981670563	0.05207787655089928	0.2513192522334032	0.48008893990603385	0.43661763074997273	0.5251864939910614	
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	cocopye	CoCoPyE 0.5.0	competitor	completeness	1000	1000	237.2289297106215	False	50.08139633487758	100.0	6.140037705036426	5.726415483207687	6.552582990960739	8.989920814511375	8.246701918559468	9.738416361028396	-0.8632093077552875	-1.3698596002890562	-0.32360437264225256	0.6593220044883659	0.6013080788723749	0.7125821029711699	0.662891598703118	0.6081275598112685	0.7156364244938477	
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	deepcheck	DeepCheck	competitor	completeness	1000	1000	237.2289297106215	False	50.08139633487758	100.0	9.974952677434645	9.351719474261342	10.591687610097862	13.918142409310768	13.124180481621359	14.701853055553258	4.959777098251359	4.183394070410793	5.788148683645948	0.1834272136954226	0.07880029105849205	0.2784146652153054	0.4107225175003405	0.3605804507737141	0.46192808327601753	
