dominant_accession	canonical_assembly_key	sets	n_benchmark_genomes	gtdb_taxonomy	novelty_class	novelty_depth	deepest_represented_rank	novelty_class_suffix_stripped_sensitivity	novelty_class_vs_train_plus_val_sensitivity	phylum	phylum_in_train	phylum_n_train_genomes	class	class_in_train	class_n_train_genomes	order	order_in_train	order_n_train_genomes	family	family_in_train	family_n_train_genomes	genus	genus_in_train	genus_n_train_genomes	species	species_in_train	species_n_train_genomes
RS_GCF_030717765.1	030717765	set_A_v2	1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium;s__Agrobacterium fabrum	lineage_represented	0	species	lineage_represented	lineage_represented	Pseudomonadota	True	25960	Alphaproteobacteria	True	3502	Rhizobiales	True	1647	Rhizobiaceae	True	1200	Agrobacterium	True	209	Agrobacterium fabrum	True	13
RS_GCF_030721705.1	030721705	set_A_v2;set_B_v2	2	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri_G	lineage_represented	0	species	lineage_represented	lineage_represented	Bacillota	True	20301	Bacilli	True	16480	Lactobacillales	True	8717	Lactobacillaceae	True	1552	Limosilactobacillus	True	147	Limosilactobacillus reuteri_G	True	2
RS_GCF_030730745.2	030730745	set_A_v2;set_B_v2;set_E	4	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Listeriaceae;g__Listeria;s__Listeria monocytogenes	lineage_represented	0	species	lineage_represented	lineage_represented	Bacillota	True	20301	Bacilli	True	16480	Lactobacillales	True	8717	Listeriaceae	True	1340	Listeria	True	1326	Listeria monocytogenes	True	644
RS_GCF_030734165.1	030734165	set_A_v2;set_B_v2;set_E	3	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	lineage_represented	0	species	lineage_represented	lineage_represented	Pseudomonadota	True	25960	Gammaproteobacteria	True	22452	Enterobacterales	True	14187	Enterobacteriaceae	True	12006	Escherichia	True	2769	Escherichia coli	True	2672
RS_GCF_030845215.1	030845215	set_A_v2	1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus fermentum	lineage_represented	0	species	lineage_represented	lineage_represented	Bacillota	True	20301	Bacilli	True	16480	Lactobacillales	True	8717	Lactobacillaceae	True	1552	Limosilactobacillus	True	147	Limosilactobacillus fermentum	True	29
RS_GCF_030908425.1	030908425	set_A_v2;set_B_v2;set_E	5	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	lineage_represented	0	species	lineage_represented	lineage_represented	Pseudomonadota	True	25960	Gammaproteobacteria	True	22452	Pseudomonadales	True	4530	Pseudomonadaceae	True	2348	Pseudomonas	True	1101	Pseudomonas aeruginosa	True	1071
RS_GCF_031203395.1	031203395	set_E	1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae	lineage_represented	0	species	lineage_represented	lineage_represented	Bacillota	True	20301	Bacilli	True	16480	Lactobacillales	True	8717	Streptococcaceae	True	4296	Streptococcus	True	4072	Streptococcus agalactiae	True	392
RS_GCF_031221745.1	031221745	set_B_v2	1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	lineage_represented	0	species	lineage_represented	lineage_represented	Pseudomonadota	True	25960	Gammaproteobacteria	True	22452	Pseudomonadales	True	4530	Pseudomonadaceae	True	2348	Pseudomonas	True	1101	Pseudomonas aeruginosa	True	1071
RS_GCF_031326265.1	031326265	set_A_v2	1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae	lineage_represented	0	species	lineage_represented	lineage_represented	Pseudomonadota	True	25960	Gammaproteobacteria	True	22452	Enterobacterales	True	14187	Enterobacteriaceae	True	12006	Klebsiella	True	3104	Klebsiella pneumoniae	True	2429
RS_GCF_031326285.1	031326285	set_A_v2	1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae	lineage_represented	0	species	lineage_represented	lineage_represented	Pseudomonadota	True	25960	Gammaproteobacteria	True	22452	Enterobacterales	True	14187	Enterobacteriaceae	True	12006	Klebsiella	True	3104	Klebsiella pneumoniae	True	2429
