tool	error_type	error_rate	error_rate_pct	metric	n_pairs	delta_mae	delta_mae_ci_lo	delta_mae_ci_hi	delta_mae_hl	delta_mae_hl_ci_lo	delta_mae_hl_ci_hi	delta_signed_bias	delta_signed_bias_ci_lo	delta_signed_bias_ci_hi	p_wilcoxon	q_bh
checkm2	indel	0.02	2.0	completeness	80	44.7678	39.8279	49.959	46.094	41.2915	51.045	-52.2784	-56.2665	-48.1457	2.0085732876088696e-14	2.8429037301540924e-13
checkm2	indel	0.02	2.0	contamination	80	2.8293	1.734	4.0144	2.4471	1.38	3.3745	3.9591	2.7167	5.2417	6.753210649403994e-06	2.3445108669628963e-05
checkm2	indel	0.05	5.0	completeness	80	49.5235	43.2014	55.2653	51.1907	44.1026	56.8696	-56.9666	-61.9102	-52.0947	2.7049761317164137e-14	3.3181040549054673e-13
checkm2	indel	0.05	5.0	contamination	80	2.8973	1.8231	4.0454	2.11	1.14	3.5001	3.205	1.8866	4.4178	7.1449280150488345e-06	2.43456806438701e-05
checkm2	chimera	0.05	5.0	completeness	80	0.005	-0.0338	0.0496	0.0	0.0	0.0	0.0083	-0.0309	0.0512	0.8274210393774797	0.8553116362104284
checkm2	chimera	0.05	5.0	contamination	80	-0.0045	-0.0128	0.0013	0.0	0.0	0.0	0.004	-0.002	0.0121	0.24886387493792206	0.35496862781843147
checkm2	chimera	0.1	10.0	completeness	80	0.0113	-0.0121	0.038	0.0	0.0	0.0	-0.001	-0.0271	0.026	0.8162218955008083	0.8485018574697667
checkm2	chimera	0.1	10.0	contamination	80	-0.0015	-0.0116	0.0076	0.0	0.0	0.0	0.006	-0.0021	0.0162	0.6378701798979456	0.6986197208406071
checkm2	chimera	0.2	20.0	completeness	80	0.0171	-0.0147	0.0608	0.0	0.0	0.0	0.0017	-0.0328	0.045	0.8510837134165198	0.8699966848257757
checkm2	chimera	0.2	20.0	contamination	80	0.0011	-0.0069	0.0093	0.0	0.0	0.0	-0.0014	-0.0093	0.0068	0.5296506700533425	0.6207370910179301
checkm2	chimera	0.4	40.0	completeness	80	0.0704	0.0052	0.1428	0.005	0.0	0.045	-0.0726	-0.1439	-0.0024	0.01753619490813743	0.0370880444034171
checkm2	chimera	0.4	40.0	contamination	80	-0.0074	-0.032	0.0194	0.0	0.0	0.0	0.0016	-0.0256	0.0266	0.5168741847338749	0.6155363770636266
checkm2	uneven_coverage	0.05	5.0	completeness	80	0.1596	-0.1377	0.4657	0.03	-0.06	0.2001	-0.0264	-0.3298	0.2903	0.48125150909299474	0.5983126869804799
