tool	margin	level	n	n_clusters	detection_slope	detection_slope_ci_lo	detection_slope_ci_hi	cont_mae	cont_mae_ci_lo	cont_mae_ci_hi	cont_bias	cont_bias_ci_lo	cont_bias_ci_hi	comp_mae	comp_mae_ci_lo	comp_mae_ci_hi	comp_bias	comp_bias_ci_lo	comp_bias_ci_hi	cont_r2	comp_r2	true_cont_mean	true_comp_mean	mimag_n	mimag_n_true_HQ	mimag_n_pred_HQ	mimag_HQ_tp	mimag_HQ_fp	mimag_HQ_fn	mimag_HQ_tn	mimag_HQ_precision	mimag_HQ_recall	mimag_false_clean_rate_5pct	mimag_false_dirty_rate_5pct
cocopye	type	redundant	600	100	1.2206	1.1106	1.3176	5.9005	5.219	6.6441	5.3401	4.6394	6.1068	3.1537	2.5271	3.8795	-0.3147	-1.2283	0.5308	-0.3298	0.6831	9.35	85.135	600.0	42.0	24.0	21.0	3.0	21.0	555.0	0.875	0.5	0.0409	0.4354
cocopye	type	replaced	600	100	0.0283	-0.1115	0.1839	8.4344	7.3218	9.5838	-6.5948	-8.1637	-5.1458	10.2564	9.0487	11.5721	9.1483	7.6299	10.6814	-1.5597	-1.034	9.35	78.107	600.0	43.0	199.0	35.0	164.0	8.0	393.0	0.1759	0.814	0.8553	0.1748
cocopye	type	single	600	100	0.3203	0.1943	0.4453	6.0783	5.2463	6.9672	-4.2328	-5.3815	-3.0514	2.8678	2.2822	3.5248	-0.7375	-1.5498	0.0698	-0.5357	0.7452	9.046	85.135	600.0	44.0	85.0	36.0	49.0	8.0	507.0	0.4235	0.8182	0.557	0.1776
cocopye	distance	species	300	100	0.3808	0.2551	0.5084	6.4729	5.6316	7.2914	-3.4947	-4.573	-2.3272	5.2176	4.6291	5.856	2.553	1.5531	3.4637	-0.8157	0.3233	8.743	82.689	300.0	23.0	51.0	17.0	34.0	6.0	243.0	0.3333	0.7391	0.6349	0.2072
cocopye	distance	genus	300	100	0.4149	0.2989	0.5306	7.022	6.1331	7.9197	-3.1915	-4.2461	-2.107	5.4982	4.882	6.1588	2.6959	1.6661	3.6203	-0.9507	0.2506	9.35	82.759	300.0	21.0	56.0	15.0	41.0	6.0	238.0	0.2679	0.7143	0.5888	0.2233
cocopye	distance	family	300	100	0.5277	0.4109	0.6426	7.1356	6.2736	8.0267	-1.9239	-2.8982	-0.8833	5.4529	4.8188	6.1194	2.7077	1.7177	3.6571	-0.9053	0.2095	9.35	82.83	300.0	21.0	53.0	15.0	38.0	6.0	241.0	0.283	0.7143	0.5128	0.2381
cocopye	distance	order	300	100	0.5956	0.4803	0.7008	6.8536	6.04	7.6685	-1.2364	-2.1101	-0.2926	5.4523	4.8164	6.0945	2.726	1.6774	3.6117	-0.7807	0.242	9.35	82.9	300.0	22.0	54.0	17.0	37.0	5.0	241.0	0.3148	0.7727	0.4518	0.2816
cocopye	distance	class	300	100	0.5922	0.4734	0.7055	6.6765	5.9025	7.4266	-1.0023	-1.9034	-0.057	5.5679	4.9509	6.2302	2.8942	1.9361	3.7837	-0.7123	0.2053	9.35	82.796	300.0	21.0	51.0	14.0	37.0	7.0	242.0	0.2745	0.6667	0.4082	0.2981
cocopye	distance	phylum	300	100	0.6369	0.5284	0.7431	6.6657	5.8753	7.4121	-0.1261	-0.9504	0.7634	5.367	4.7247	6.0694	2.6154	1.6349	3.5966	-0.701	0.2388	9.35	82.778	300.0	21.0	43.0	14.0	29.0	7.0	250.0	0.3256	0.6667	0.3198	0.3301
cocopye	true_contamination_band	[0,5]%	540	30	1.1459	-0.7292	3.5546	3.1924	1.9871	4.71	1.7284	0.2462	3.4397	3.7052	2.5314	5.3343	-1.5212	-3.4483	0.0319	-38.8375	0.5003	1.993	84.227	540.0	79.0	75.0	61.0	14.0	18.0	447.0	0.8133	0.7722	0.0	0.2481
cocopye	true_contamination_band	[5,10]%	360	20	1.0107	-0.1554	2.3079	5.4066	4.5583	6.672	-0.5484	-2.0859	1.5447	3.6281	2.9635	4.3343	2.1905	1.2644	3.1609	-23.9161	0.6223	6.215	84.966	360.0	48.0	61.0	29.0	32.0	19.0	280.0	0.4754	0.6042	0.5935	0.3659
cocopye	true_contamination_band	[10,15]%	360	20	0.8451	0.1207	1.8578	7.9085	7.0651	8.663	-2.4659	-3.7077	-0.8663	6.2657	5.3705	7.1843	4.6564	3.1693	5.9729	-27.8309	-0.1076	11.121	81.845	360.0	1.0	59.0	1.0	58.0	0.0	301.0	0.0169	1.0	0.4944	0.25
cocopye	true_contamination_band	[15,20]%	540	30	0.6391	0.3474	0.9824	10.6123	9.7667	11.3718	-5.8161	-6.7799	-4.7894	7.7855	7.1734	8.4543	5.9522	4.6864	7.0656	-20.521	0.0384	17.278	80.539	540.0	1.0	113.0	1.0	112.0	0.0	427.0	0.0088	1.0	0.4227	0.0
cocopye	type_x_band	redundant|[0,5]%	180	30	2.2844	0.2413	4.6708	3.6795	2.3763	5.3627	3.3389	1.9743	5.1058	3.3665	2.0376	5.0917	-2.6708	-4.5423	-1.1772	-50.4983	0.4371	2.0	84.882											
cocopye	type_x_band	redundant|[5,10]%	120	20	1.8233	0.4235	3.1987	5.6212	4.2024	7.233	4.8466	3.2526	6.6432	2.2902	1.5853	3.0703	0.1943	-1.0161	1.2729	-32.2287	0.8468	6.25	87.142											
