accession	n_sets	n_samples
RS_GCF_002305875.1	2	2
RS_GCF_002310435.1	2	3
RS_GCF_002355475.1	2	2
RS_GCF_002355575.1	1	1
RS_GCF_002355675.1	1	1
RS_GCF_002356015.1	2	2
RS_GCF_002356095.1	1	2
RS_GCF_002356375.1	1	1
RS_GCF_002356915.1	2	2
RS_GCF_002446895.1	1	1
RS_GCF_002447255.1	2	3
RS_GCF_002447755.1	2	2
RS_GCF_002504085.1	2	4
RS_GCF_002557795.1	1	1
RS_GCF_002634005.1	2	3
RS_GCF_002741805.2	2	3
RS_GCF_002741845.3	2	2
RS_GCF_002761035.1	2	2
RS_GCF_002762115.1	2	2
RS_GCF_002762135.3	1	2
RS_GCF_002763535.1	1	1
RS_GCF_002776795.1	3	4
RS_GCF_002776955.1	1	1
RS_GCF_002777035.1	3	4
RS_GCF_002777115.1	2	3
RS_GCF_002777155.1	1	1
RS_GCF_002804085.1	3	3
RS_GCF_002811555.3	2	2
RS_GCF_002813675.1	3	12
RS_GCF_002843505.1	1	1
RS_GCF_002844755.2	1	1
RS_GCF_002847305.1	2	2
RS_GCF_002848465.1	2	2
RS_GCF_002849915.1	2	2
RS_GCF_002850415.1	2	2
RS_GCF_002863525.1	3	5
RS_GCF_002863765.1	2	3
RS_GCF_002874965.1	2	2
RS_GCF_002886405.1	2	2
RS_GCF_002891665.1	2	2
RS_GCF_002892225.1	2	2
RS_GCF_002899535.1	1	1
RS_GCF_002906495.1	2	2
RS_GCF_002910725.2	1	1
RS_GCF_002934065.1	1	1
RS_GCF_002934585.1	1	2
RS_GCF_002935055.1	2	4
RS_GCF_002950255.1	2	2
RS_GCF_002951195.1	2	2
RS_GCF_002952275.1	1	1
RS_GCF_002952595.1	2	2
RS_GCF_002952715.2	1	1
RS_GCF_002953415.1	1	2
RS_GCF_002968335.2	2	4
RS_GCF_002968735.1	3	3
RS_GCF_002993105.1	1	1
RS_GCF_002998595.1	2	3
RS_GCF_002999135.1	2	2
RS_GCF_003018155.1	1	2
RS_GCF_003018795.1	1	1
RS_GCF_003019315.1	1	1
RS_GCF_003019675.1	3	3
RS_GCF_003028755.1	1	1
RS_GCF_003045505.1	1	1
RS_GCF_003073375.1	1	1
RS_GCF_003073755.1	2	2
RS_GCF_003073995.1	1	1
RS_GCF_003074095.1	1	1
RS_GCF_003076455.1	2	3
RS_GCF_003096095.1	1	1
RS_GCF_003112125.1	1	1
RS_GCF_003113475.3	3	4
RS_GCF_003122385.1	2	3
RS_GCF_003130795.1	2	3
RS_GCF_003173695.1	1	1
RS_GCF_003173755.1	1	1
RS_GCF_003181035.1	1	1
RS_GCF_003181135.1	2	3
RS_GCF_003181155.1	2	3
RS_GCF_003194245.1	1	1
RS_GCF_003204075.1	2	2
RS_GCF_003213725.2	3	7
RS_GCF_003265005.1	1	1
RS_GCF_003286825.2	2	2
RS_GCF_003287355.1	1	10
RS_GCF_003325135.1	2	2
RS_GCF_003325455.1	1	1
RS_GCF_003351825.1	2	2
RS_GCF_003352875.1	1	2
RS_GCF_003354325.1	1	1
RS_GCF_003355455.1	2	2
RS_GCF_003368185.1	2	3
RS_GCF_003382935.1	2	2
RS_GCF_003390475.1	2	2
RS_GCF_003390495.1	1	1
RS_GCF_003391255.1	1	1
RS_GCF_003410255.1	1	1
RS_GCF_003410355.1	1	2
RS_GCF_003429525.1	2	3
RS_GCF_003431325.1	3	4
RS_GCF_003433275.1	2	2
RS_GCF_003433315.1	1	1
RS_GCF_003445415.1	2	2
RS_GCF_003544935.1	3	3
RS_GCF_003555505.1	1	1
RS_GCF_003570765.1	3	3
RS_GCF_003571725.1	1	1
RS_GCF_003584685.1	2	2
RS_GCF_003590645.1	3	3
RS_GCF_003627195.1	2	2
RS_GCF_003641245.1	1	1
RS_GCF_003665615.1	1	1
RS_GCF_003667885.1	3	3
RS_GCF_003671995.1	3	3
RS_GCF_003698205.1	1	2
RS_GCF_003716855.1	1	1
RS_GCF_003716935.1	1	1
RS_GCF_003717015.1	1	1
RS_GCF_003717635.1	2	2
RS_GCF_003718655.1	3	3
RS_GCF_003790525.1	1	1
RS_GCF_003798185.1	1	2
RS_GCF_003812165.1	1	1
RS_GCF_003813005.1	2	2
RS_GCF_003814385.1	1	1
RS_GCF_003815815.1	2	2
RS_GCF_003851345.1	1	1
RS_GCF_003852215.1	3	14
RS_GCF_003855175.1	3	3
RS_GCF_003856715.1	1	1
RS_GCF_003864055.1	3	3
RS_GCF_003945305.1	2	2
RS_GCF_003950275.1	1	2
