set	set_label	tool	tool_label	criterion	threshold	n	n_clusters	n_true_pass	n_true_fail	n_false_pass	n_false_fail	false_pass_rate	false_pass_rate_ci_lo	false_pass_rate_ci_hi	false_fail_rate	false_fail_rate_ci_lo	false_fail_rate_ci_hi	sensitivity	sensitivity_ci_lo	sensitivity_ci_hi	specificity	specificity_ci_lo	specificity_ci_hi	balanced_accuracy	balanced_accuracy_ci_lo	balanced_accuracy_ci_hi
set_D_clean	Set D-clean (Archaea, held-out test split)	cocopye	CoCoPyE 0.5.0	completeness	90.0	1000	100	224	776	68	40	0.0876288659793814	0.0652173913043478	0.1114029632339491	0.1785714285714285	0.0995163629678052	0.2701695531464833	0.9123711340206184	0.8885970367660508	0.9347826086956522	0.8214285714285714	0.7298304468535167	0.9004836370321947	0.866899852724595	0.8210972640422289	0.905709999193103
set_D_clean	Set D-clean (Archaea, held-out test split)	deepcheck	DeepCheck	completeness	90.0	1000	100	224	776	139	33	0.1791237113402062	0.1443383240197284	0.2146403551645487	0.1473214285714285	0.0833333333333333	0.2160865552251051	0.8208762886597938	0.7853596448354513	0.8556616759802715	0.8526785714285714	0.7839134447748949	0.9166666666666666	0.8367774300441826	0.7992807582788747	0.8715836890754326
set_D_clean	Set D-clean (Archaea, held-out test split)	magicc_v5	MAGICC v5 (released, v0.3.0)	contamination	5.0	1000	100	62	938	11	9	0.0117270788912579	0.005364663115429	0.0189473684210526	0.1451612903225806	0.0588235294117647	0.2542372881355932	0.988272921108742	0.9810526315789474	0.994635336884571	0.8548387096774194	0.7457627118644068	0.9411764705882352	0.9215558153930808	0.867143336646509	0.964980206225843
set_D_clean	Set D-clean (Archaea, held-out test split)	checkm2	CheckM2 1.0.1	contamination	5.0	1000	100	62	938	296	0	0.3155650319829424	0.273210027426814	0.3579210992907801	0.0	0.0	0.0	0.6844349680170576	0.6420789007092199	0.726789972573186	1.0	1.0	1.0	0.8422174840085288	0.8210394503546099	0.8633949862865931
set_D_clean	Set D-clean (Archaea, held-out test split)	cocopye	CoCoPyE 0.5.0	contamination	5.0	1000	100	62	938	60	9	0.0639658848614072	0.0441620874461517	0.088865096359743	0.1451612903225806	0.0625	0.2419354838709677	0.9360341151385928	0.911134903640257	0.9558379125538484	0.8548387096774194	0.7580645161290323	0.9375	0.8954364124080061	0.8461877055123473	0.9373992806123382
set_D_clean	Set D-clean (Archaea, held-out test split)	deepcheck	DeepCheck	contamination	5.0	1000	100	62	938	508	1	0.5415778251599147	0.5	0.5805763073639274	0.0161290322580645	0.0	0.0508474576271186	0.4584221748400853	0.4194236926360726	0.5	0.9838709677419356	0.9491525423728814	1.0	0.7211465712910103	0.6957869404628956	0.7447313171615972
set_D_clean	Set D-clean (Archaea, held-out test split)	magicc_v5	MAGICC v5 (released, v0.3.0)	contamination	10.0	1000	100	113	887	21	12	0.0236753100338218	0.0147886942002766	0.0328425821064552	0.1061946902654867	0.0472941101478837	0.1746070272769301	0.9763246899661782	0.9671574178935448	0.9852113057997234	0.8938053097345132	0.8253929727230698	0.9527058898521162	0.9350649998503456	0.9008688239539602	0.9652326482099284
set_D_clean	Set D-clean (Archaea, held-out test split)	checkm2	CheckM2 1.0.1	contamination	10.0	1000	100	113	887	507	0	0.5715896279594137	0.525836941017492	0.6142888976923837	0.0	0.0	0.0	0.4284103720405862	0.3857111023076161	0.4741630589825079	1.0	1.0	1.0	0.7142051860202931	0.6928555511538081	0.737081529491254
set_D_clean	Set D-clean (Archaea, held-out test split)	cocopye	CoCoPyE 0.5.0	contamination	10.0	1000	100	113	887	85	9	0.0958286358511837	0.0699760486843061	0.125149245097472	0.079646017699115	0.0336134453781512	0.1339285714285714	0.9041713641488164	0.8748507549025278	0.930023951315694	0.9203539823008848	0.8660714285714286	0.9663865546218487	0.9122626732248508	0.8838306424944873	0.938633976084093
set_D_clean	Set D-clean (Archaea, held-out test split)	deepcheck	DeepCheck	contamination	10.0	1000	100	113	887	752	0	0.8478015783540023	0.8126418719211823	0.8784109595115029	0.0	0.0	0.0	0.1521984216459977	0.121589040488497	0.1873581280788177	1.0	1.0	1.0	0.5760992108229989	0.5607945202442485	0.593679064039409
