accession	bytes	status
GCA_010994285.1	1391248	cached
GCA_009708215.1	1578707	cached
GCA_010169135.1	689536	ok
GCA_011307715.1	738477	ok
GCA_010172585.1	680906	ok
GCA_011307695.1	727682	ok
GCA_012241495.1	1156156	ok
GCA_013150925.1	1419565	cached
GCA_009931515.2	1454267	cached
GCA_017348895.1	1163062	ok
GCA_030345655.1	1678422	ok
GCA_012971785.1	1671298	ok
GCA_013150945.1	1362142	cached
GCA_009931475.1	1383552	cached
GCA_027594565.1	1404926	ok
GCA_013150935.1	1372347	ok
GCA_009931495.2	1433069	ok
GCA_013154415.1	1364478	ok
GCA_013146785.1	1433833	ok
GCA_013154435.1	1478586	ok
GCA_013146725.1	1361060	ok
GCA_013154475.1	1392044	ok
GCA_013147165.1	1450842	ok
GCA_013154485.1	1389330	ok
GCA_013147205.1	1459364	ok
GCA_013093435.1	1393345	ok
GCA_013154505.1	1412227	ok
GCA_013146765.1	1452507	ok
GCA_013154535.1	1387257	ok
GCA_013147185.1	1458954	ok
GCA_013146745.1	1441865	ok
GCA_013154545.1	1411458	ok
GCA_013154595.1	1372678	ok
GCA_013147245.1	1439231	ok
GCA_013154605.1	1366145	ok
GCA_013147225.1	1439087	ok
GCA_013154655.1	1378890	ok
GCA_013154575.1	1361533	ok
GCA_013146805.1	1432905	ok
GCA_013189855.1	629989	cached
GCA_024220115.1	643123	cached
GCA_013146845.1	1451156	ok
GCA_013154665.1	1399081	ok
GCA_013154865.1	1407396	ok
GCA_013147065.1	1433995	ok
GCA_013378475.1	1100414	cached
GCA_013348685.1	930961	cached
GCA_013193985.1	672810	ok
GCA_004328985.1	1443455	ok
GCA_013393275.1	1434067	cached
GCA_051027655.1	1427599	cached
GCA_013393325.1	1752389	cached
GCA_051027635.1	1744855	cached
GCA_024220075.1	686318	ok
GCA_013265685.1	1540814	ok
GCA_013046845.1	1540705	ok
GCA_013393245.1	1379743	ok
GCA_013523595.1	958140	ok
GCA_014527395.1	862444	cached
GCA_024800705.1	868131	cached
