cohort	clustering_unit	grouping	stratum	n_genomes	metric	weighted_median	ci95_lo	ci95_hi	weighted_mean	mean_ci95_lo	mean_ci95_hi
catalogue_weighted	family	phylum	Elusimicrobiota	317	contamination_MAGICC_minus_CheckM2	0.0217	-0.5932	0.1282	1.2962	0.1128	2.8253
catalogue_weighted	family	phylum	Eremiobacterota	597	completeness_MAGICC_minus_CheckM2	2.4655	1.5145	4.6169	2.5734	1.2411	6.7394
catalogue_weighted	family	phylum	Eremiobacterota	597	contamination_MAGICC_minus_CheckM2	1.0815	-0.2007	4.4370	5.9324	1.4970	13.9131
catalogue_weighted	family	phylum	Firmicutes	17637	completeness_MAGICC_minus_CheckM2	-0.6249	-4.1350	-0.0304	-2.7065	-6.6203	-0.4531
catalogue_weighted	family	phylum	Firmicutes	17637	contamination_MAGICC_minus_CheckM2	-0.4972	-0.7387	-0.2197	-0.2514	-0.9626	0.6890
catalogue_weighted	family	phylum	Firmicutes_A	88454	completeness_MAGICC_minus_CheckM2	1.2786	-0.0415	2.2228	1.4149	-0.3834	2.2949
catalogue_weighted	family	phylum	Firmicutes_A	88454	contamination_MAGICC_minus_CheckM2	-0.7987	-1.0389	-0.3299	-1.1518	-1.5850	-0.4356
catalogue_weighted	family	phylum	Firmicutes_B	340	completeness_MAGICC_minus_CheckM2	-7.2319	-12.9573	-3.7691	-8.5114	-12.7395	-6.4034
catalogue_weighted	family	phylum	Firmicutes_B	340	contamination_MAGICC_minus_CheckM2	-0.5586	-1.5559	-0.1271	-0.4121	-1.4229	2.1549
catalogue_weighted	family	phylum	Firmicutes_C	8315	completeness_MAGICC_minus_CheckM2	0.1585	-0.7983	1.6478	0.0815	-1.6228	1.9389
catalogue_weighted	family	phylum	Firmicutes_C	8315	contamination_MAGICC_minus_CheckM2	-0.1770	-0.6352	-0.0896	-0.7164	-1.5022	-0.3310
catalogue_weighted	family	phylum	Firmicutes_G	385	completeness_MAGICC_minus_CheckM2	-7.4780	-15.2444	-2.9275	-9.2932	-14.7029	-4.2197
catalogue_weighted	family	phylum	Firmicutes_G	385	contamination_MAGICC_minus_CheckM2	0.0878	-0.1984	1.0337	3.5030	0.4723	8.0862
catalogue_weighted	family	phylum	Fusobacteriota	871	completeness_MAGICC_minus_CheckM2	-1.2807	-36.9772	0.8279	-2.0367	-25.5723	3.1715
catalogue_weighted	family	phylum	Fusobacteriota	871	contamination_MAGICC_minus_CheckM2	-0.4128	-1.2148	2.9877	-0.6330	-1.6457	13.9536
catalogue_weighted	family	phylum	Gemmatimonadota	460	completeness_MAGICC_minus_CheckM2	-1.3747	-5.8343	1.0512	-2.1134	-7.7799	0.0975
catalogue_weighted	family	phylum	Gemmatimonadota	460	contamination_MAGICC_minus_CheckM2	-0.5198	-1.5281	2.7095	1.6800	0.2117	4.8931
catalogue_weighted	family	phylum	Halobacteriota	635	completeness_MAGICC_minus_CheckM2	-4.9068	-7.1721	-3.2625	-5.8082	-8.2884	-3.5845
catalogue_weighted	family	phylum	Halobacteriota	635	contamination_MAGICC_minus_CheckM2	-0.2007	-0.6127	0.7892	3.8416	-1.0115	13.3170
catalogue_weighted	family	phylum	Krumholzibacteriota	210	completeness_MAGICC_minus_CheckM2	-5.3087	-8.4046	3.6683	-5.6737	-9.0131	0.7063
catalogue_weighted	family	phylum	Krumholzibacteriota	210	contamination_MAGICC_minus_CheckM2	-0.2982	-0.8902	2.3793	2.4813	0.5906	6.0255
catalogue_weighted	family	phylum	Marinisomatota	391	completeness_MAGICC_minus_CheckM2	-6.3894	-12.9302	3.7367	-5.8925	-12.0659	1.0276
catalogue_weighted	family	phylum	Marinisomatota	391	contamination_MAGICC_minus_CheckM2	0.3453	0.0817	2.2528	2.7429	1.4757	4.8340
catalogue_weighted	family	phylum	Methanobacteriota	1018	completeness_MAGICC_minus_CheckM2	-0.1562	-1.0556	-0.1562	-1.4568	-1.4569	-1.0556
catalogue_weighted	family	phylum	Methanobacteriota	1018	contamination_MAGICC_minus_CheckM2	0.2061	0.0498	0.4151	0.3637	0.0498	0.4035
catalogue_weighted	family	phylum	Methylomirabilota	643	completeness_MAGICC_minus_CheckM2	0.4962	-16.8196	2.8632	-0.2242	-17.2321	3.0481
catalogue_weighted	family	phylum	Methylomirabilota	643	contamination_MAGICC_minus_CheckM2	2.1435	0.3035	28.3474	9.3215	3.7949	25.1949
catalogue_weighted	family	phylum	Micrarchaeota	442	completeness_MAGICC_minus_CheckM2	-19.0551	-24.0416	-12.8041	-18.9391	-22.7505	-12.6871
