cohort	clustering_unit	grouping	stratum	n_genomes	statistic	estimate	ci95_lo	ci95_hi	design_se	design_ci95_lo	design_ci95_hi	note
catalogue_weighted	family	size_bin	<1Mb	57652	slope_d_cont_per_log10Mbp	0.47297	-1.13486	2.22463				post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	1-2Mb	89416	p_class_change	0.13559	0.104936	0.173639	0.00158377	0.132485	0.138694	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	1-2Mb	89416	p_downgrade	0.0847831	0.0639916	0.11418	0.0012802	0.0822739	0.0872922	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	1-2Mb	89416	p_upgrade	0.0508064	0.0380859	0.0651597	0.0010254	0.0487967	0.0528162	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	1-2Mb	89416	p_HQ_checkm2	0.180919	0.132191	0.236271	0.00178228	0.177426	0.184412	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	1-2Mb	89416	p_HQ_magicc	0.156598	0.112288	0.206388	0.00168938	0.153287	0.159909	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	1-2Mb	89416	HQ_downgrade_rate	0.415125	0.350933	0.500866	0.00534699	0.404646	0.425605	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	1-2Mb	89416	HQ_to_MQ_rate	0.380423	0.324344	0.449477	0.00527101	0.370092	0.390754	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	1-2Mb	89416	HQ_to_LQ_rate	0.0347021	0.0211538	0.0557161	0.0019317	0.030916	0.0384882	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	1-2Mb	89416	MQ_to_HQ_rate	0.0620027	0.044407	0.0828788	0.00124439	0.0595638	0.0644417	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	1-2Mb	89416	MQ_to_LQ_rate	0.0118173	0.0079054	0.0184182	0.000535538	0.0107677	0.012867	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	1-2Mb	89416	LQ_to_higher_rate	0.666667	0	1	0.373009	-0.0644171	1.39775	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
