cohort	clustering_unit	subset	n_genomes	n_clusters	metric	slope_pp_per_log10Mbp	ci95_lo	ci95_hi	note
reps_census	family	size_bin:1-2Mb	28365	3311	completeness_MAGICC_minus_CheckM2	18.4179	11.4662	25.0401	weighted OLS on log10(assembly Mbp)
reps_census	family	size_bin:2-3Mb	23913	3311	completeness_MAGICC_minus_CheckM2	4.1964	-4.0568	12.5275	weighted OLS on log10(assembly Mbp)
reps_census	family	size_bin:3-5Mb	21196	3311	completeness_MAGICC_minus_CheckM2	17.1837	11.3099	23.1294	weighted OLS on log10(assembly Mbp)
reps_census	family	size_bin:>5Mb	6560	3311	completeness_MAGICC_minus_CheckM2	8.3253	-10.9277	18.9789	weighted OLS on log10(assembly Mbp)
reps_census	family	size_bin:<1Mb	12030	3311	contamination_MAGICC_minus_CheckM2	6.6822	4.1154	9.1037	weighted OLS on log10(assembly Mbp)
reps_census	family	size_bin:1-2Mb	28365	3311	contamination_MAGICC_minus_CheckM2	-7.8539	-11.1046	-4.8335	weighted OLS on log10(assembly Mbp)
reps_census	family	size_bin:2-3Mb	23913	3311	contamination_MAGICC_minus_CheckM2	3.4004	0.1182	6.7719	weighted OLS on log10(assembly Mbp)
reps_census	family	size_bin:3-5Mb	21196	3311	contamination_MAGICC_minus_CheckM2	11.2440	6.5750	16.3304	weighted OLS on log10(assembly Mbp)
reps_census	family	size_bin:>5Mb	6560	3311	contamination_MAGICC_minus_CheckM2	77.0016	44.7250	94.1970	weighted OLS on log10(assembly Mbp)
reps_census	family	lineage_reduction:<-1 (>=2x reduced)	4389	3311	completeness_MAGICC_minus_CheckM2	10.7895	7.0538	14.1114	weighted OLS on log10(assembly Mbp)
reps_census	family	lineage_reduction:-1 to -0.5	11813	3311	completeness_MAGICC_minus_CheckM2	14.4344	11.3954	17.7108	weighted OLS on log10(assembly Mbp)
reps_census	family	lineage_reduction:-0.5 to -0.25	11175	3311	completeness_MAGICC_minus_CheckM2	20.0356	15.8673	24.2273	weighted OLS on log10(assembly Mbp)
reps_census	family	lineage_reduction:-0.25 to +0.25 (typical)	30028	3311	completeness_MAGICC_minus_CheckM2	16.8682	13.7499	20.1540	weighted OLS on log10(assembly Mbp)
reps_census	family	lineage_reduction:>+0.25 (larger than lineage)	34659	3311	completeness_MAGICC_minus_CheckM2	9.7526	7.8054	11.8441	weighted OLS on log10(assembly Mbp)
reps_census	family	lineage_reduction:<-1 (>=2x reduced)	4389	3311	contamination_MAGICC_minus_CheckM2	-0.0059	-1.1758	1.3739	weighted OLS on log10(assembly Mbp)
reps_census	family	lineage_reduction:-1 to -0.5	11813	3311	contamination_MAGICC_minus_CheckM2	-1.3522	-2.3011	-0.3819	weighted OLS on log10(assembly Mbp)
reps_census	family	lineage_reduction:-0.5 to -0.25	11175	3311	contamination_MAGICC_minus_CheckM2	-1.7817	-2.8686	-0.7413	weighted OLS on log10(assembly Mbp)
reps_census	family	lineage_reduction:-0.25 to +0.25 (typical)	30028	3311	contamination_MAGICC_minus_CheckM2	-2.4200	-3.7105	-1.2704	weighted OLS on log10(assembly Mbp)
reps_census	family	lineage_reduction:>+0.25 (larger than lineage)	34659	3311	contamination_MAGICC_minus_CheckM2	4.0512	-0.2786	9.4535	weighted OLS on log10(assembly Mbp)
