genome_id	status	bytes
spire_mag_00013930	ok	244225
spire_mag_00013949	ok	267788
spire_mag_00013940	ok	239553
spire_mag_00013936	ok	256529
spire_mag_00013939	ok	281616
spire_mag_00013975	ok	188925
spire_mag_00013972	ok	206091
spire_mag_00013987	ok	304736
spire_mag_00013995	ok	186965
spire_mag_00014040	ok	185125
spire_mag_00014014	ok	277108
spire_mag_00014090	ok	193025
spire_mag_00014048	ok	230735
spire_mag_00014043	ok	311978
spire_mag_00014056	ok	273038
spire_mag_00014084	ok	236560
spire_mag_00014137	ok	228683
spire_mag_00014092	ok	237972
spire_mag_00014148	ok	184619
spire_mag_00014144	ok	274835
spire_mag_00014140	ok	252518
spire_mag_00014143	ok	238787
spire_mag_00014167	ok	227906
spire_mag_00014174	ok	214421
spire_mag_00014171	ok	269424
spire_mag_00014175	ok	265484
spire_mag_00014179	ok	217039
spire_mag_00014185	ok	267478
spire_mag_00014194	ok	259258
spire_mag_00014182	ok	295894
spire_mag_00014238	ok	268453
spire_mag_00014248	ok	216278
spire_mag_00014246	ok	266680
spire_mag_00014236	ok	272530
spire_mag_00014270	ok	242654
spire_mag_00014278	ok	262559
spire_mag_00014284	ok	219909
spire_mag_00014279	ok	302218
spire_mag_00014288	ok	314050
spire_mag_00014297	ok	158001
spire_mag_00014339	ok	305340
spire_mag_00014349	ok	243432
spire_mag_00014348	ok	292293
spire_mag_00014360	ok	168572
spire_mag_00014357	ok	235240
spire_mag_00014372	ok	152484
spire_mag_00014384	ok	244959
spire_mag_00014379	ok	251508
spire_mag_00014389	ok	209406
spire_mag_00014410	ok	230515
spire_mag_00014406	ok	292547
spire_mag_00014407	ok	301105
spire_mag_00014415	ok	217306
spire_mag_00014432	ok	314618
spire_mag_00014457	ok	256958
spire_mag_00014467	ok	176420
spire_mag_00014488	ok	266831
spire_mag_00014485	ok	207098
spire_mag_00014492	ok	253370
spire_mag_00014509	ok	196908
spire_mag_00014502	ok	289876
spire_mag_00014504	ok	307348
spire_mag_00014592	ok	277067
spire_mag_00014514	ok	212506
spire_mag_00014584	ok	264036
spire_mag_00014605	ok	232761
spire_mag_00014618	ok	262033
spire_mag_00014621	ok	221124
spire_mag_00014692	ok	220201
spire_mag_00014637	ok	243911
spire_mag_00014695	ok	304359
spire_mag_00014696	ok	263284
spire_mag_00014702	ok	288002
spire_mag_00014706	ok	291338
spire_mag_00014760	ok	177908
spire_mag_00014738	ok	298206
spire_mag_00014829	ok	185567
spire_mag_00014808	ok	261345
spire_mag_00014796	ok	274152
spire_mag_00014836	ok	243584
spire_mag_00014811	ok	201750
spire_mag_00014852	ok	222274
spire_mag_00014889	ok	286852
spire_mag_00014894	ok	229276
spire_mag_00014919	ok	172919
spire_mag_00014898	ok	261742
spire_mag_00014924	ok	218279
spire_mag_00014936	ok	299765
spire_mag_00014941	ok	281321
spire_mag_00014939	ok	275494
spire_mag_00014955	ok	182678
spire_mag_00014946	ok	216733
spire_mag_00015030	ok	193996
spire_mag_00014978	ok	294231
spire_mag_00014994	ok	221041
spire_mag_00014990	ok	253252
spire_mag_00015006	ok	223280
spire_mag_00015082	ok	244121
spire_mag_00015065	ok	206850
spire_mag_00015036	ok	275992
spire_mag_00015089	ok	169838
spire_mag_00015079	ok	277027
spire_mag_00015085	ok	255643
spire_mag_00015113	ok	312859
spire_mag_00015134	ok	192974
spire_mag_00015116	ok	303247
spire_mag_00015163	ok	285061
spire_mag_00015176	ok	254541
spire_mag_00015164	ok	304916
spire_mag_00015190	ok	236831
spire_mag_00015221	ok	203770
spire_mag_00015188	ok	311490
spire_mag_00015298	ok	244972
spire_mag_00015231	ok	228580
spire_mag_00015303	ok	260208
spire_mag_00015289	ok	252265
spire_mag_00015261	ok	256757
spire_mag_00015272	ok	292032
spire_mag_00015144	ok	233487
spire_mag_00015329	ok	286896
spire_mag_00015369	ok	272653
spire_mag_00015380	ok	276462
spire_mag_00015395	ok	245073
spire_mag_00015399	ok	290995
spire_mag_00015432	ok	210206
spire_mag_00015449	ok	279886
spire_mag_00015468	ok	210779
spire_mag_00015464	ok	290089
spire_mag_00015475	ok	289487
spire_mag_00015521	ok	277868
spire_mag_00015523	ok	251451
spire_mag_00015486	ok	224929
spire_mag_00015622	ok	297322
spire_mag_00015568	ok	254285
spire_mag_00015540	ok	276316
spire_mag_00015632	ok	290977
spire_mag_00015655	ok	281450
