cohort	clustering_unit	grouping	stratum	n_genomes	statistic	estimate	ci95_lo	ci95_hi	design_se	design_ci95_lo	design_ci95_hi	note
catalogue_weighted	family	size_bin	2-3Mb	418	p_class_change	0.383706	0.321561	0.4467	0.0405409	0.304247	0.463164	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	2-3Mb	418	p_downgrade	0.299763	0.237637	0.359641	0.0363597	0.2285	0.371027	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	2-3Mb	418	p_upgrade	0.0839423	0.0535515	0.119153	0.0257796	0.0334153	0.134469	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	2-3Mb	418	p_HQ_checkm2	0.401386	0.328583	0.46854	0.0389163	0.325112	0.477661	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	2-3Mb	418	p_HQ_magicc	0.224276	0.171863	0.275131	0.0343837	0.156885	0.291667	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	2-3Mb	418	HQ_downgrade_rate	0.650377	0.544689	0.756723	0.0546653	0.543235	0.757519	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	2-3Mb	418	HQ_to_MQ_rate	0.563054	0.443849	0.684349	0.0568962	0.45154	0.674569	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	2-3Mb	418	HQ_to_LQ_rate	0.0873231	0.0274468	0.161252	0.0323413	0.0239353	0.150711	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	2-3Mb	418	MQ_to_HQ_rate	0.141191	0.0923348	0.195917	0.0423679	0.0581512	0.22423	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	2-3Mb	418	MQ_to_LQ_rate	0.0651113	0.0250256	0.11087	0.0299264	0.00645668	0.123766	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	2-3Mb	418	LQ_to_higher_rate	0	0	0	0	0	0	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	2-3Mb	418	cont5_disagreement_rate	0.128724	0.0781773	0.180987	0.0298486	0.0702217	0.187226	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	2-3Mb	418	floor_rate	0	0	0	0	0	0	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	2-3Mb	418	floor_rate_exact50	0	0	0	0	0	0	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
