cohort	clustering_unit	grouping	stratum	n_genomes	metric	weighted_median	ci95_lo	ci95_hi	weighted_mean	mean_ci95_lo	mean_ci95_hi
S3_srs_unweighted	family	size_bin	3-5Mb	306	contamination_MAGICC_minus_CheckM2	-1.1616	-1.6410	-0.7591	0.0399	-0.8003	1.0085
S3_srs_unweighted	family	size_bin	>5Mb	91	completeness_MAGICC_minus_CheckM2	2.0762	0.1472	4.6270	3.0616	1.0162	5.2964
S3_srs_unweighted	family	size_bin	>5Mb	91	contamination_MAGICC_minus_CheckM2	-0.8872	-2.0567	0.2180	5.4078	1.4605	10.3150
S3_srs_unweighted	family	lineage_reduction	<-1 (>=2x reduced)	14	completeness_MAGICC_minus_CheckM2	-0.2813	-8.9128	4.3845	0.7811	-6.6028	8.0404
S3_srs_unweighted	family	lineage_reduction	<-1 (>=2x reduced)	14	contamination_MAGICC_minus_CheckM2	-0.2926	-3.6566	0.3546	-1.1591	-2.5942	-0.0259
S3_srs_unweighted	family	lineage_reduction	-1 to -0.5	75	completeness_MAGICC_minus_CheckM2	-3.2629	-6.5439	-0.5732	-4.2608	-6.5515	-1.9387
S3_srs_unweighted	family	lineage_reduction	-1 to -0.5	75	contamination_MAGICC_minus_CheckM2	-0.7179	-1.7406	-0.4877	-0.5121	-1.5613	0.6343
S3_srs_unweighted	family	lineage_reduction	-0.5 to -0.25	92	completeness_MAGICC_minus_CheckM2	-0.8935	-3.3389	0.0871	-2.1157	-4.5160	0.1573
S3_srs_unweighted	family	lineage_reduction	-0.5 to -0.25	92	contamination_MAGICC_minus_CheckM2	-0.7671	-1.2790	-0.3158	-0.5002	-1.6715	0.8442
S3_srs_unweighted	family	lineage_reduction	-0.25 to +0.25 (typical)	262	completeness_MAGICC_minus_CheckM2	-1.5843	-3.6980	0.1670	-1.9580	-3.5714	-0.4036
S3_srs_unweighted	family	lineage_reduction	-0.25 to +0.25 (typical)	262	contamination_MAGICC_minus_CheckM2	-1.0865	-1.4634	-0.6336	-0.2417	-1.0235	0.6412
S3_srs_unweighted	family	lineage_reduction	>+0.25 (larger than lineage)	449	completeness_MAGICC_minus_CheckM2	0.7837	0.0588	1.5046	1.1021	-0.0161	2.2999
S3_srs_unweighted	family	lineage_reduction	>+0.25 (larger than lineage)	449	contamination_MAGICC_minus_CheckM2	-0.8502	-1.2161	-0.3515	2.3593	0.9522	4.0973
S3_srs_unweighted	family	phylum	Proteobacteria	221	completeness_MAGICC_minus_CheckM2	-0.0802	-1.3122	0.6441	-1.1680	-2.7101	0.4353
S3_srs_unweighted	family	phylum	Proteobacteria	221	contamination_MAGICC_minus_CheckM2	-1.6420	-2.0798	-1.1014	-1.1594	-1.9133	-0.0849
S3_srs_unweighted	family	phylum	other (<200 in cohort)	671	completeness_MAGICC_minus_CheckM2	-0.0048	-0.4798	0.7174	-0.3924	-1.3948	0.5792
S3_srs_unweighted	family	phylum	other (<200 in cohort)	671	contamination_MAGICC_minus_CheckM2	-0.6336	-0.9315	-0.4068	1.7162	0.7465	2.7786
S1_small_census	family	overall	ALL	17201	completeness_MAGICC_minus_CheckM2	-6.3934	-7.8145	-5.1648	-8.3055	-9.2850	-7.3489
S1_small_census	family	overall	ALL	17201	contamination_MAGICC_minus_CheckM2	-0.0240	-0.0691	0.0102	1.2131	0.8017	1.6848
S1_small_census	family	size_bin	<1Mb	17201	completeness_MAGICC_minus_CheckM2	-6.3934	-7.7841	-5.1843	-8.3055	-9.3188	-7.3487
S1_small_census	family	size_bin	<1Mb	17201	contamination_MAGICC_minus_CheckM2	-0.0240	-0.0690	0.0092	1.2131	0.7982	1.7219
S1_small_census	family	lineage_reduction	<-1 (>=2x reduced)	6388	completeness_MAGICC_minus_CheckM2	-4.6268	-5.6247	-3.5056	-5.8587	-6.9084	-4.7403
