accession	description	study_accession
GCA_902515985	AG-325-G21 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515995	AG-325-I14 assembly for uncultured prokaryote	PRJEB33281
GCA_902516005	AG-325-G19 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902516015	AG-325-I04 assembly for uncultured prokaryote	PRJEB33281
GCA_902516025	AG-325-I07 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902516035	AG-325-G22 assembly for uncultured Candidatus Actinomarina sp.	PRJEB33281
GCA_902516045	AG-325-I10 assembly for uncultured prokaryote	PRJEB33281
GCA_902516055	AG-325-I15 assembly for uncultured prokaryote	PRJEB33281
GCA_902516065	AG-325-I05 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902516085	AG-325-G17 assembly for uncultured prokaryote	PRJEB33281
GCA_902516095	AG-325-I08 assembly for uncultured prokaryote	PRJEB33281
GCA_902516105	AG-325-I02 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902516115	AG-325-I16 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902516125	AG-325-J06 assembly for uncultured Candidatus Actinomarina sp.	PRJEB33281
GCA_902516135	AG-325-J05 assembly for uncultured prokaryote	PRJEB33281
GCA_902516195	AG-325-J03 assembly for uncultured prokaryote	PRJEB33281
GCA_902516205	AG-325-I19 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902516255	AG-325-J13 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902516265	AG-325-I22 assembly for uncultured prokaryote	PRJEB33281
GCA_902516315	AG-325-J16 assembly for uncultured prokaryote	PRJEB33281
GCA_902516325	AG-325-J17 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902516365	AG-325-J19 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902516375	AG-325-J18 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902516385	AG-325-J23 assembly for uncultured Fidelibacterota bacterium	PRJEB33281
GCA_902516515	AG-325-K19 assembly for uncultured prokaryote	PRJEB33281
GCA_902516525	AG-325-K15 assembly for uncultured prokaryote	PRJEB33281
GCA_902516565	AG-325-L05 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902516575	AG-325-K11 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902516585	AG-325-K22 assembly for uncultured prokaryote	PRJEB33281
GCA_902516595	AG-325-L04 assembly for uncultured prokaryote	PRJEB33281
GCA_902516605	AG-325-K14 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902516615	AG-325-K23 assembly for uncultured prokaryote	PRJEB33281
GCA_902516655	AG-325-L10 assembly for uncultured prokaryote	PRJEB33281
GCA_902516665	AG-325-L13 assembly for uncultured prokaryote	PRJEB33281
GCA_902516675	AG-325-L07 assembly for uncultured prokaryote	PRJEB33281
GCA_902516685	AG-325-L09 assembly for uncultured Formosa sp.	PRJEB33281
GCA_902516725	AG-325-M07 assembly for uncultured prokaryote	PRJEB33281
GCA_902516735	AG-325-L22 assembly for uncultured prokaryote	PRJEB33281
GCA_902516785	AG-325-M08 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902516795	AG-325-L19 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902516835	AG-325-M04 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902516875	AG-325-M14 assembly for uncultured prokaryote	PRJEB33281
GCA_902525155	AG-895-N04 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902525185	AG-895-N02 assembly for uncultured prokaryote	PRJEB33281
GCA_902525195	AG-337-F09 assembly for uncultured prokaryote	PRJEB33281
GCA_902525215	AG-895-N05 assembly for uncultured prokaryote	PRJEB33281
GCA_902525225	AG-895-N06 assembly for uncultured prokaryote	PRJEB33281
GCA_902525235	AG-337-F14 assembly for uncultured prokaryote	PRJEB33281
GCA_902525275	AG-895-N11 assembly for uncultured prokaryote	PRJEB33281
GCA_902525285	AG-895-N18 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902525295	AG-895-N09 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902525325	AG-337-F16 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902525335	AG-895-N13 assembly for uncultured prokaryote	PRJEB33281
GCA_902525345	AG-337-F18 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902525355	AG-337-F15 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902525385	AG-895-N22 assembly for uncultured prokaryote	PRJEB33281
GCA_902525405	AG-895-N23 assembly for uncultured prokaryote	PRJEB33281
GCA_902525415	AG-895-N21 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902525495	AG-895-O08 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902525515	AG-337-G03 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902525555	AG-337-G07 assembly for uncultured prokaryote	PRJEB33281
GCA_902525585	AG-895-O22 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902525595	AG-337-G05 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902525605	AG-337-G08 assembly for Halieaceae bacterium	PRJEB33281
GCA_902525625	AG-337-G11 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902525635	AG-337-G10 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902525645	AG-337-G06 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902525655	AG-895-O17 assembly for uncultured prokaryote	PRJEB33281
GCA_902525665	AG-895-O16 assembly for uncultured prokaryote	PRJEB33281
GCA_902525675	AG-895-P06 assembly for uncultured prokaryote	PRJEB33281
GCA_902525685	AG-895-P05 assembly for Paracoccaceae bacterium	PRJEB33281
GCA_902525705	AG-337-G15 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902525715	AG-895-P02 assembly for uncultured prokaryote	PRJEB33281
GCA_902525765	AG-895-P11 assembly for uncultured prokaryote	PRJEB33281
GCA_902525775	AG-337-G21 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902525785	AG-337-G22 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902525795	AG-337-I03 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902525805	AG-337-I07 assembly for uncultured prokaryote	PRJEB33281
GCA_902525815	AG-337-I06 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902525865	AG-337-I05 assembly for uncultured prokaryote	PRJEB33281
GCA_902525875	AG-337-I02 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902525885	AG-337-I04 assembly for uncultured prokaryote	PRJEB33281
GCA_902525895	AG-895-P14 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902525905	AG-895-P19 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902525925	AG-895-P21 assembly for uncultured prokaryote	PRJEB33281
GCA_902525945	AG-895-P20 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902525985	AG-337-I08 assembly for uncultured Formosa sp.	PRJEB33281
GCA_902526015	AG-337-I09 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902526025	AG-896-A04 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902526055	AG-896-A06 assembly for uncultured prokaryote	PRJEB33281
GCA_902526065	AG-896-A07 assembly for uncultured prokaryote	PRJEB33281
GCA_902526075	AG-337-I16 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902526085	AG-337-I18 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902526105	AG-337-I21 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902526135	AG-337-G16 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902526145	AG-896-A10 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902526155	AG-895-P08 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902526175	AG-896-A16 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902526205	AG-896-A17 assembly for uncultured prokaryote	PRJEB33281
GCA_902526255	AG-896-A19 assembly for uncultured prokaryote	PRJEB33281
GCA_902526305	AG-337-J11 assembly for uncultured prokaryote	PRJEB33281
GCA_902526315	AG-896-B03 assembly for uncultured prokaryote	PRJEB33281
GCA_902526325	AG-337-J10 assembly for uncultured prokaryote	PRJEB33281
GCA_902526335	AG-896-B08 assembly for uncultured prokaryote	PRJEB33281
GCA_902526355	AG-896-A23 assembly for uncultured prokaryote	PRJEB33281
GCA_902526375	AG-896-A21 assembly for uncultured prokaryote	PRJEB33281
GCA_902526385	AG-337-J13 assembly for uncultured prokaryote	PRJEB33281
GCA_902526435	AG-337-J18 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902526465	AG-896-B14 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902526485	AG-337-J20 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902526585	AG-896-C17 assembly for uncultured prokaryote	PRJEB33281
GCA_902526595	AG-337-J22 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902526605	AG-896-C15 assembly for uncultured prokaryote	PRJEB33281
GCA_902526615	AG-337-K02 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902526635	AG-896-C14 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902526665	AG-337-K09 assembly for uncultured prokaryote	PRJEB33281
GCA_902526675	AG-896-C19 assembly for uncultured prokaryote	PRJEB33281
GCA_902526685	AG-896-D04 assembly for uncultured prokaryote	PRJEB33281
GCA_902526705	AG-337-K06 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902526715	AG-337-K04 assembly for uncultured prokaryote	PRJEB33281
GCA_902526735	AG-337-K07 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902526745	AG-896-D22 assembly for uncultured prokaryote	PRJEB33281
GCA_902526755	AG-337-K18 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902526765	AG-896-D14 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902526775	AG-896-D16 assembly for uncultured prokaryote	PRJEB33281
GCA_902526795	AG-337-K10 assembly for uncultured Fidelibacterota bacterium	PRJEB33281
GCA_902526825	AG-337-K14 assembly for uncultured Candidatus Actinomarina sp.	PRJEB33281
GCA_902526835	AG-896-D09 assembly for uncultured prokaryote	PRJEB33281
GCA_902526855	AG-896-D10 assembly for uncultured prokaryote	PRJEB33281
GCA_902526875	AG-896-D21 assembly for uncultured prokaryote	PRJEB33281
GCA_902526915	AG-896-E02 assembly for uncultured prokaryote	PRJEB33281
GCA_902526925	AG-337-K20 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902526935	AG-896-E06 assembly for uncultured prokaryote	PRJEB33281
GCA_902526945	AG-337-K23 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902526955	AG-337-K19 assembly for uncultured prokaryote	PRJEB33281
GCA_902526965	AG-337-K21 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902526975	AG-896-E05 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902527035	AG-337-L05 assembly for uncultured prokaryote	PRJEB33281
GCA_902527045	AG-337-L15 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902527055	AG-896-F03 assembly for uncultured prokaryote	PRJEB33281
GCA_902527065	AG-896-E16 assembly for uncultured prokaryote	PRJEB33281
GCA_902527105	AG-896-E23 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902527115	AG-337-L14 assembly for uncultured prokaryote	PRJEB33281
GCA_902527135	AG-337-L07 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902527145	AG-337-L13 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902527155	AG-896-F05 assembly for uncultured prokaryote	PRJEB33281
GCA_902527165	AG-896-E17 assembly for uncultured prokaryote	PRJEB33281
GCA_902527195	AG-337-L18 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902527205	AG-337-L17 assembly for Rhodospirillaceae bacterium	PRJEB33281
GCA_902527225	AG-337-L23 assembly for uncultured prokaryote	PRJEB33281
GCA_902527235	AG-896-F09 assembly for uncultured prokaryote	PRJEB33281
GCA_902527255	AG-896-F11 assembly for uncultured prokaryote	PRJEB33281
GCA_902527275	AG-896-F15 assembly for uncultured beta proteobacterium	PRJEB33281
GCA_902527325	AG-896-F14 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902527335	AG-337-L21 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902527345	AG-896-C22 assembly for uncultured prokaryote	PRJEB33281
GCA_902527355	AG-896-F16 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902527375	AG-896-F18 assembly for uncultured prokaryote	PRJEB33281
GCA_902527385	AG-337-M03 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902527395	AG-337-M14 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902527405	AG-337-M11 assembly for uncultured prokaryote	PRJEB33281
GCA_902527415	AG-896-G05 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902527435	AG-337-M10 assembly for uncultured prokaryote	PRJEB33281
GCA_902527455	AG-896-F23 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902527485	AG-337-M06 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902527495	AG-896-G03 assembly for uncultured prokaryote	PRJEB33281
GCA_902527515	AG-337-M13 assembly for uncultured Synechococcaceae cyanobacterium	PRJEB33281
GCA_902527525	AG-337-M07 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902527565	AG-896-G11 assembly for uncultured prokaryote	PRJEB33281
GCA_902527575	AG-337-L03 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902527595	AG-337-M16 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902527605	AG-896-G07 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902527625	AG-337-M15 assembly for uncultured prokaryote	PRJEB33281
GCA_902527635	AG-337-M21 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902527645	AG-896-G09 assembly for uncultured prokaryote	PRJEB33281
GCA_902527665	AG-337-M19 assembly for uncultured prokaryote	PRJEB33281
GCA_902527675	AG-896-G08 assembly for uncultured prokaryote	PRJEB33281
GCA_902527705	AG-337-M22 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902527715	AG-337-M23 assembly for uncultured prokaryote	PRJEB33281
GCA_902527725	AG-896-G17 assembly for uncultured prokaryote	PRJEB33281
GCA_902527745	AG-896-G14 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902527785	AG-896-I02 assembly for uncultured prokaryote	PRJEB33281
GCA_902527795	AG-896-I03 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902527805	AG-337-N04 assembly for uncultured prokaryote	PRJEB33281
GCA_902527815	AG-337-N05 assembly for uncultured prokaryote	PRJEB33281
GCA_902527835	AG-337-N08 assembly for uncultured prokaryote	PRJEB33281
GCA_902527875	AG-337-N10 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902527885	AG-896-I06 assembly for uncultured prokaryote	PRJEB33281
GCA_902527905	AG-337-N06 assembly for uncultured prokaryote	PRJEB33281
GCA_902527925	AG-337-N07 assembly for uncultured prokaryote	PRJEB33281
GCA_902527945	AG-896-G21 assembly for uncultured prokaryote	PRJEB33281
GCA_902527955	AG-896-G23 assembly for uncultured prokaryote	PRJEB33281
GCA_902527985	AG-337-N14 assembly for uncultured prokaryote	PRJEB33281
GCA_902527995	AG-337-N17 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902528005	AG-896-I11 assembly for uncultured prokaryote	PRJEB33281
GCA_902528015	AG-896-I10 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902528025	AG-337-N15 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902528035	AG-337-N16 assembly for uncultured prokaryote	PRJEB33281
GCA_902528055	AG-896-I15 assembly for uncultured prokaryote	PRJEB33281
GCA_902528075	AG-337-N19 assembly for uncultured prokaryote	PRJEB33281
GCA_902528085	AG-896-I22 assembly for uncultured prokaryote	PRJEB33281
GCA_902528105	AG-337-N20 assembly for uncultured prokaryote	PRJEB33281
GCA_902528115	AG-337-N21 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902528125	AG-337-O03 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902528145	AG-896-J02 assembly for uncultured prokaryote	PRJEB33281
GCA_902528165	AG-896-J04 assembly for uncultured Litorivicinus sp.	PRJEB33281
GCA_902528195	AG-896-J05 assembly for uncultured prokaryote	PRJEB33281
GCA_902528215	AG-337-O06 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902528225	AG-337-O04 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902528255	AG-896-J16 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902528265	AG-337-O10 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902528315	AG-337-O11 assembly for uncultured Fidelibacterota bacterium	PRJEB33281
GCA_902528385	AG-337-O19 assembly for uncultured prokaryote	PRJEB33281
GCA_902528395	AG-896-K06 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902528405	AG-337-O20 assembly for uncultured prokaryote	PRJEB33281
GCA_902528415	AG-337-O15 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902528425	AG-337-O18 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902528435	AG-896-K04 assembly for uncultured prokaryote	PRJEB33281
GCA_902528445	AG-896-J19 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902528455	AG-896-J21 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902528525	AG-337-P01 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902528535	AG-337-O22 assembly for uncultured prokaryote	PRJEB33281
GCA_902528545	AG-896-K10 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902528555	AG-896-K14 assembly for uncultured prokaryote	PRJEB33281
GCA_902528565	AG-337-P04 assembly for uncultured prokaryote	PRJEB33281
GCA_902528585	AG-896-K15 assembly for uncultured prokaryote	PRJEB33281
GCA_902528595	AG-337-P05 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902528605	AG-896-K16 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902528615	AG-896-K18 assembly for uncultured prokaryote	PRJEB33281
GCA_902528625	AG-896-K19 assembly for uncultured prokaryote	PRJEB33281
GCA_902528635	AG-337-P08 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902528645	AG-896-K17 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902528655	AG-337-P06 assembly for uncultured prokaryote	PRJEB33281
GCA_902528665	AG-337-P07 assembly for uncultured prokaryote	PRJEB33281
GCA_902528675	AG-337-P09 assembly for uncultured prokaryote	PRJEB33281
GCA_902528685	AG-337-P15 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902534855	AG-349-B07 assembly for uncultured prokaryote	PRJEB33281
GCA_902534925	AG-349-B10 assembly for uncultured prokaryote	PRJEB33281
GCA_902534935	AG-898-I20 assembly for uncultured prokaryote	PRJEB33281
