tool	error_type	error_rate	error_rate_pct	metric	n_pairs	delta_mae	delta_mae_ci_lo	delta_mae_ci_hi	delta_mae_hl	delta_mae_hl_ci_lo	delta_mae_hl_ci_hi	delta_signed_bias	delta_signed_bias_ci_lo	delta_signed_bias_ci_hi	p_wilcoxon	q_bh
deepcheck	substitution_titv	0.005	0.5	contamination	80	-0.1234	-0.3273	0.0977	-0.1771	-0.3658	-0.0038	0.6812	0.5124	0.85	0.05207704587128999	0.09394290627762115
deepcheck	substitution_titv	0.01	1.0	completeness	80	1.9385	0.6518	3.1758	2.0541	0.6438	3.5513	-6.1976	-6.7326	-5.6701	0.00599101834185432	0.0146979649986826
deepcheck	substitution_titv	0.01	1.0	contamination	80	-0.4187	-0.7713	-0.0465	-0.4102	-0.7763	-0.0551	1.4189	1.1692	1.6692	0.029442209682508203	0.060869287433500105
deepcheck	substitution_titv	0.02	2.0	completeness	80	6.3035	4.3296	8.1822	6.9891	4.5882	8.9105	-12.0812	-13.0745	-11.1124	2.7942103299178234e-07	1.1425215571219543e-06
deepcheck	substitution_titv	0.02	2.0	contamination	80	-0.1077	-0.5171	0.328	-0.2322	-0.6328	0.2669	1.5892	1.2536	1.9199	0.2658207000831926	0.37915510709540645
deepcheck	substitution_titv	0.05	5.0	completeness	80	19.7619	16.2977	22.9755	20.9415	17.4933	23.8396	-27.1537	-28.8245	-25.2759	1.4996303557698519e-12	1.0986104659073665e-11
deepcheck	substitution_titv	0.05	5.0	contamination	80	-0.1957	-0.7416	0.3717	-0.1441	-0.6698	0.3031	1.7187	1.2317	2.1792	0.48077649642439835	0.5864256799543777
deepcheck	indel	0.001	0.1	completeness	80	12.0936	9.4803	14.612	12.9936	10.9458	15.3119	-19.1977	-20.566	-17.9706	6.312862769988994e-10	3.0567546044157234e-09
deepcheck	indel	0.001	0.1	contamination	80	-0.0592	-0.5703	0.4419	-0.1343	-0.6398	0.4334	2.0675	1.6797	2.4494	0.5977828305822304	0.6703362076169058
deepcheck	indel	0.005	0.5	completeness	80	42.8731	39.6445	46.0168	43.3394	40.2508	46.6047	-50.2649	-52.6827	-47.8918	8.152358880315246e-15	1.6178984118507488e-13
deepcheck	indel	0.005	0.5	contamination	80	1.0381	0.3458	1.7528	0.7302	0.232	1.2903	1.2567	0.4463	2.1561	0.0065381715497651515	0.01562368266437387
deepcheck	indel	0.01	1.0	completeness	80	48.7027	45.2532	52.1419	48.7386	45.0226	52.6413	-56.0945	-58.7986	-53.2492	7.849526548031477e-15	1.6178984118507488e-13
deepcheck	indel	0.01	1.0	contamination	80	1.3804	0.53	2.2763	1.0348	0.3653	1.8312	1.3108	0.2928	2.3667	0.002942344493840003	0.007519324817591118
deepcheck	indel	0.02	2.0	completeness	80	40.5861	36.3235	44.7459	40.3132	35.9325	44.9462	-47.9779	-51.7625	-44.0587	8.792926151362765e-15	1.6178984118507488e-13
deepcheck	indel	0.02	2.0	contamination	80	1.7762	0.341	3.2898	1.6993	0.1299	3.2767	7.2955	6.064	8.4883	0.0378207282004652	0.07174241225655253
deepcheck	indel	0.05	5.0	completeness	80	30.5145	25.9822	34.9806	31.126	26.2857	35.9834	-37.8001	-41.5317	-34.1114	1.62273611215713e-13	1.4929172231845596e-12
deepcheck	indel	0.05	5.0	contamination	80	6.045	3.5008	8.4863	6.5008	3.5948	9.1685	14.5131	12.9903	16.0829	2.8246830040750183e-05	8.809180894064465e-05
deepcheck	chimera	0.05	5.0	completeness	80	-0.0023	-0.0171	0.0104	0.0	0.0	0.0002	0.0009	-0.0139	0.0135	0.6281579064875374	0.6921021245132148
deepcheck	chimera	0.05	5.0	contamination	80	0.0077	0.0006	0.0178	0.0	0.0	0.0002	-0.0081	-0.0181	-0.001	0.04275294725365959	0.07946002317851883
deepcheck	chimera	0.1	10.0	completeness	80	0.013	-0.0038	0.0317	0.0002	-0.0001	0.0083	-0.0055	-0.0247	0.0122	0.2964359765648924	0.4101069149469188
deepcheck	chimera	0.1	10.0	contamination	80	0.0034	-0.0105	0.0163	0.0	-0.0	0.0024	-0.0036	-0.0165	0.0102	0.4053961810651535	0.5180062313610295
deepcheck	chimera	0.2	20.0	completeness	80	0.0081	-0.0138	0.0308	0.0	-0.0019	0.0004	-0.0046	-0.0305	0.0161	0.7269757182879952	0.7731996078901221
deepcheck	chimera	0.2	20.0	contamination	80	0.0137	0.0005	0.0283	0.0001	-0.0	0.0011	0.0048	-0.0097	0.0202	0.09896112250529067	0.16404366253129263
deepcheck	chimera	0.4	40.0	completeness	80	-0.0194	-0.0595	0.0173	-0.0002	-0.0157	0.0005	-0.0574	-0.0954	-0.023	0.3942131172629423	0.5108113632139534
deepcheck	chimera	0.4	40.0	contamination	80	0.0145	0.003	0.0286	0.0005	0.0	0.0073	-0.0128	-0.027	-0.0007	0.04486302386298918	0.08215734111331079
deepcheck	uneven_coverage	0.05	5.0	completeness	80	-0.0712	-0.1963	0.0441	-0.049	-0.1501	0.0589	0.0033	-0.1151	0.1261	0.3326200290320117	0.446730549940804
deepcheck	uneven_coverage	0.05	5.0	contamination	80	-0.1421	-0.9167	0.6644	-0.1684	-0.9116	0.5472	3.8778	3.5087	4.3002	0.6520969440692355	0.7016715655481832
deepcheck	uneven_coverage	0.1	10.0	completeness	80	0.1665	-0.0205	0.3636	0.1252	-0.0559	0.3257	-0.1686	-0.3694	0.035	0.18878473202968926	0.28707760903688284
deepcheck	uneven_coverage	0.1	10.0	contamination	80	1.2239	-0.2345	2.6146	1.2057	-0.1276	2.5107	7.7949	7.2002	8.4101	0.06550817345218315	0.11589907610770865
deepcheck	uneven_coverage	0.2	20.0	completeness	80	-0.1291	-0.3953	0.1579	-0.0655	-0.3052	0.1954	-0.1268	-0.3977	0.1685	0.6011167079173341	0.6703362076169058
deepcheck	uneven_coverage	0.2	20.0	contamination	80	6.3017	3.6948	8.5665	7.02	3.6638	9.5127	15.3387	14.1839	16.5688	8.74195698473709e-06	2.9787408985030085e-05
deepcheck	uneven_coverage	0.4	40.0	completeness	80	0.1996	-0.2326	0.6225	0.2055	-0.2216	0.6265	-0.4976	-0.9484	-0.0755	0.32785547382592994	0.4435691704703758
deepcheck	uneven_coverage	0.4	40.0	contamination	80	21.983	18.0995	25.9022	22.1406	18.472	25.2486	32.0486	29.3381	35.1095	4.1070363594330403e-13	3.4349758642530885e-12
