scope	size_bin	tool	tool_label	n	n_clusters	median_size_mbp	mae_completeness	mae_completeness_ci_lo	mae_completeness_ci_hi	bias_completeness	bias_completeness_ci_lo	bias_completeness_ci_hi	mae_contamination	mae_contamination_ci_lo	mae_contamination_ci_hi	bias_contamination	bias_contamination_ci_lo	bias_contamination_ci_hi	n_true_pass_cont5	n_false_fail_cont5	false_fail_rate_cont5	false_fail_rate_cont5_ci_lo	false_fail_rate_cont5_ci_hi
set_A_v2	>=5 Mbp	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	289	231	5.680212	2.013225751059173	1.7257107981265882	2.3362860999948145	0.5999571119564919	0.2632522276142071	0.9714112888015685	0.6101000302695503	0.3554881218212194	0.9680061476949519	0.6101000302695503	0.3554881218212194	0.9680061476949519	289	7	0.02422145328719723	0.009803123203678868	0.04225352112676056
set_A_v2	>=5 Mbp	checkm2	CheckM2 1.0.1	289	231	5.680212	3.1100475249405157	2.789973405491873	3.45263975237894	2.5915132745862497	2.183995085429843	3.002559733178636	0.2777508650519031	0.23556696555915224	0.3242259470430202	0.2777508650519031	0.23556696555915224	0.3242259470430202	289	0	0.0	0.0	0.0
set_A_v2	>=5 Mbp	cocopye	CoCoPyE 0.5.0	289	231	5.680212	3.3388546030712263	2.8826261835642684	3.8586743154475305	0.7101191636990101	0.12687636465369628	1.3178602874494525	0.1717838851742477	0.11956930305333015	0.2252800125060569	0.1717838823085918	0.11956930092280335	0.22528000881804505	289	0	0.0	0.0	0.0
set_A_v2	>=5 Mbp	deepcheck	DeepCheck	289	231	5.680212	4.158635412612904	3.7060180763803303	4.629871347420245	2.179984529773183	1.572337203237827	2.8290199486063763	0.45305856917968673	0.3943481140948971	0.5224554361964403	0.3575434716721307	0.2884607700830316	0.43500025251939517	289	0	0.0	0.0	0.0
set_B_v2	1-2 Mbp	magicc_v5	MAGICC v5 (released, v0.3.0)	135	108	1.644819	2.7230203555555548	1.6166450294523242	3.9081094737173463	-2.7230203555555548	-3.9081094737173467	-1.6166450294523245	4.201373058099903	3.4087770152839694	4.9764198918114415	-1.5417933008576266	-2.552258149336472	-0.44691738562400074	28	2	0.07142857142857142	0.0	0.18518518518518517
set_B_v2	1-2 Mbp	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	135	108	1.644819	2.878357037037037	1.8107141012918382	4.084864533008053	-2.878357037037037	-4.084864533008053	-1.8107141012918386	4.273891467079308	3.596410151563413	4.920125893115755	-0.7658766960428113	-1.7051885614591749	0.2379651197725918	28	3	0.10714285714285714	0.0	0.23814285714285688
set_B_v2	1-2 Mbp	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	135	108	1.644819	1.4588421185185185	0.7485661866557498	2.3206251631685033	-1.4588421185185185	-2.3206251631685038	-0.7485661866557498	2.0820791321340586	1.7297014164766111	2.432385560268756	-0.7183886270924412	-1.2145464430835764	-0.19065543470911578	28	0	0.0	0.0	0.0
set_B_v2	1-2 Mbp	checkm2	CheckM2 1.0.1	135	108	1.644819	1.8719259259259267	1.1574738281250008	2.6706904470300064	-1.8719259259259267	-2.670690447030007	-1.1574738281250012	28.355858918265035	24.742863270091586	31.89552810933542	-28.275266325672447	-31.824389733818464	-24.645737441453754	28	0	0.0	0.0	0.0
set_B_v2	1-2 Mbp	cocopye	CoCoPyE 0.5.0	135	108	1.644819	1.6471624054415677	0.9120521609218869	2.598028046952307	-1.6471624054415677	-2.5980280469523076	-0.912052160921888	16.806816271347955	14.307855744872302	19.43866153149739	-14.846599335651057	-17.75222166166807	-11.799287986558086	28	3	0.10714285714285714	0.0	0.23809523809523808
set_B_v2	1-2 Mbp	deepcheck	DeepCheck	135	108	1.644819	3.6165108009620948	2.8966965583518705	4.448170817629846	-2.8830326786747693	-3.7576182129648013	-2.028324306951659	30.97565094310705	27.090595698830263	34.70942217077015	-30.941814556726676	-34.688603733485664	-27.055664429397492	28	0	0.0	0.0	0.0
set_B_v2	2-3 Mbp	magicc_v5	MAGICC v5 (released, v0.3.0)	243	183	2.616331	1.989297679012346	1.511859204858871	2.5772678708476398	-1.989297679012346	-2.5772678708476398	-1.511859204858871	3.969178582761505	3.468183081390695	4.5131689741893375	-0.8736871664547913	-1.6085636826090841	-0.12760823970570592	52	1	0.019230769230769232	0.0	0.06521739130434782
set_B_v2	2-3 Mbp	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	243	183	2.616331	2.3104246913580253	1.8377917284580148	2.8759223562604856	-2.3104246913580253	-2.8759223562604856	-1.8377917284580148	4.107111658356686	3.5896086454334917	4.662150230664569	0.5832503323682535	-0.19994766828682117	1.361292636048907	52	9	0.17307692307692307	0.07405149051490519	0.28846153846153844
set_B_v2	2-3 Mbp	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	243	183	2.616331	0.500313440329218	0.2606632576597356	0.8162991558262707	-0.500313440329218	-0.8162991558262708	-0.2606632576597356	2.3842613165652633	2.030788027094772	2.7791580062415893	0.018798770829571057	-0.4879077845550821	0.531595879521011	52	1	0.019230769230769232	0.0	0.0625
set_B_v2	2-3 Mbp	checkm2	CheckM2 1.0.1	243	183	2.616331	0.19786008230452698	0.10601729323308295	0.3078257127192983	-0.19786008230452698	-0.3078257127192983	-0.10601729323308301	24.925519631756945	22.573947965538412	27.290448203777068	-24.561541025656435	-27.02211593694339	-22.168212660232477	52	0	0.0	0.0	0.0
set_B_v2	2-3 Mbp	cocopye	CoCoPyE 0.5.0	243	183	2.616331	0.20625760931311143	0.12791452696792163	0.3086953281275909	-0.20625760931311143	-0.308695328127591	-0.12791452696792166	12.63067356301164	11.191442757263445	14.069590700023657	-11.563660642471936	-13.155854855404145	-10.009976064226187	52	0	0.0	0.0	0.0
set_B_v2	2-3 Mbp	deepcheck	DeepCheck	243	183	2.616331	2.638299541708865	2.1830024944401125	3.136335962321754	0.332035425759146	-0.24212946836555718	0.9681912226349477	30.36632183102724	27.78671177227235	33.05060732511911	-29.961723619153176	-32.814698823886715	-27.284285631514447	52	0	0.0	0.0	0.0
set_B_v2	3-5 Mbp	magicc_v5	MAGICC v5 (released, v0.3.0)	346	275	4.1764095	3.5103952369942193	2.8749681823531055	4.160788685136492	-3.5103952369942193	-4.160788685136492	-2.8749681823531055	4.327945772487078	3.8249426292059963	4.829404973529675	0.08170851395686542	-0.5982096235567061	0.7975659475523117	67	1	0.014925373134328358	0.0	0.05
set_B_v2	3-5 Mbp	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	346	275	4.1764095	3.4566962427745667	2.8588742473400917	4.053480689006024	-3.4566962427745667	-4.053480689006024	-2.8588742473400917	4.987860717318816	4.409898910459287	5.549621794306645	2.1309370642690038	1.3978542750166907	2.9222397615217472	67	10	0.14925373134328357	0.06943247126436784	0.24193548387096775
set_B_v2	3-5 Mbp	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	346	275	4.1764095	0.9048445606936416	0.5579821007993024	1.3074745702879307	-0.9048445606936416	-1.3074745702879311	-0.5579821007993027	2.874846726450321	2.533266522152662	3.247780782722087	-0.02581893217059125	-0.48885196112097745	0.4702557650480315	67	0	0.0	0.0	0.0
set_B_v2	3-5 Mbp	checkm2	CheckM2 1.0.1	346	275	4.1764095	0.1576300578034683	0.05472580172240477	0.3155661197416652	-0.1576300578034683	-0.31556611974166526	-0.05472580172240477	14.071164726143927	12.69074577852961	15.540234440443353	-11.506634033996892	-13.154805263226564	-9.922160550263365	67	0	0.0	0.0	0.0
set_B_v2	3-5 Mbp	cocopye	CoCoPyE 0.5.0	346	275	4.1764095	0.4537599423662986	0.19993463445369736	0.7781463423077599	-0.4537599423662986	-0.7781463423077599	-0.19993463445369736	9.527662383784751	8.25792794245082	10.84696819390117	-2.343590826655426	-4.003627855185846	-0.6481556011483082	67	0	0.0	0.0	0.0
set_B_v2	3-5 Mbp	deepcheck	DeepCheck	346	275	4.1764095	6.735510721372042	5.8602987979608505	7.676145924776424	5.5312890289835845	4.5458476447511	6.556936939775554	24.24487834252985	22.1788691892117	26.36327249904966	-19.409853879488228	-21.96916343555711	-16.768566196872797	67	0	0.0	0.0	0.0
set_B_v2	>=5 Mbp	magicc_v5	MAGICC v5 (released, v0.3.0)	264	226	5.807265	3.187289185606061	2.613298893083019	3.810949313435829	-3.187289185606061	-3.810949313435829	-2.6132988930830194	4.898305315251762	4.198676490227773	5.648657899393573	1.422048287151769	0.49505682875824447	2.400707252607917	51	2	0.0392156862745098	0.0	0.10638297872340426
set_B_v2	>=5 Mbp	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	264	226	5.807265	3.488031818181818	2.9000372500572213	4.1298639711538465	-3.488031818181818	-4.1298639711538465	-2.900037250057222	6.392308433269793	5.493354740178902	7.367011816801722	4.149170287795709	3.0798079267502785	5.35731677631557	51	18	0.35294117647058826	0.22637971698113216	0.48937255753365166
set_B_v2	>=5 Mbp	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	264	226	5.807265	0.32670052651515125	0.1565240702045975	0.5600550682765146	-0.32670052651515125	-0.5600550682765147	-0.15652407020459755	3.2846578878383537	2.8364054971883883	3.744320325974641	0.35722199755669326	-0.24059497682318381	1.0108760510971662	51	3	0.058823529411764705	0.0	0.12700101317122583
set_B_v2	>=5 Mbp	checkm2	CheckM2 1.0.1	264	226	5.807265	0.025340909090909244	0.007644457427352291	0.045573583467495134	-0.025340909090909244	-0.04557358346749514	-0.007644457427352293	8.894991067392137	7.80725961972851	10.091511604915118	0.2466884696138898	-1.3803707714876468	1.8947794988662272	51	0	0.0	0.0	0.0
set_B_v2	>=5 Mbp	cocopye	CoCoPyE 0.5.0	264	226	5.807265	0.23610974476431026	0.09319421722100119	0.458155134635891	-0.23610974476431026	-0.4581551346358913	-0.09319421722100121	11.88749944227236	9.800192372180696	14.067420170277716	5.8988133486673755	3.443954264430591	8.6229666950401	51	0	0.0	0.0	0.0
set_B_v2	>=5 Mbp	deepcheck	DeepCheck	264	226	5.807265	11.578364430051861	10.29955116634221	12.891948511402669	10.90168944272128	9.535765022752672	12.33502150778663	19.596184048055402	17.33983776578607	22.273935457681805	-6.933425906474996	-10.247644413860298	-3.389480375631126	51	0	0.0	0.0	0.0
