set	set_label	status	tier	subset	tool	tool_label	tool_role	metric	n	n_clusters	clustered_bootstrap	true_value_variance	true_value_constant	mae	mae_ci_lo	mae_ci_hi	bias	bias_ci_lo	bias_ci_hi	rmse	rmse_ci_lo	rmse_ci_hi	r2	r2_ci_lo	r2_ci_hi	r2_pearson_sq	r2_omitted_reason
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	cocopye	CoCoPyE 0.5.0	competitor	completeness	1000	803	True	0.0	True	0.6405279238173239	0.4558745421483203	0.8561517685838803	-0.6405279238173239	-0.8561517685838804	-0.4558745421483205	3.272374142794569	2.2921252060407418	4.170942066281588					R^2 omitted: the true completeness is constant at 100% for all 1000 genomes, so the total sum of squares is zero and no fraction of variance can be explained. MAE / RMSE / mean signed error remain well defined and are reported instead.
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	deepcheck	DeepCheck	competitor	completeness	1000	803	True	0.0	True	6.6112978515625	6.036880503596247	7.196237327933359	4.400948608398438	3.739482183036247	5.0639878870520745	11.124742303672994	10.283795046618769	11.924513254827616					R^2 omitted: the true completeness is constant at 100% for all 1000 genomes, so the total sum of squares is zero and no fraction of variance can be explained. MAE / RMSE / mean signed error remain well defined and are reported instead.
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	contamination	1000	803	True	772.4672959754683	False	4.453452160275677	4.1349741801102615	4.785216890616472	-0.1355621172905156	-0.5631327494222444	0.3073440268162851	6.772518352675309	6.178105948831608	7.37664657381158	0.9406227227012852	0.928904771898652	0.9508093738068096	0.9408855023396407	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	checkm2	CheckM2 1.0.1	competitor	contamination	1000	803	True	772.4672959754683	False	17.661892481683402	16.523113468770692	18.76303086122287	-14.261714663148515	-15.58962671175464	-12.922711616322957	25.23848722734899	23.89768730202041	26.452138619171823	0.1753939087858974	0.088378220138492	0.259517598475476	0.4756544039288595	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	cocopye	CoCoPyE 0.5.0	competitor	contamination	1000	803	True	772.4672959754683	False	12.095051584950191	11.19877265161535	13.034548855738704	-4.35194307573874	-5.5394946570693495	-3.099756326543204	18.9280610220697	17.464529638172596	20.399655689423945	0.536198495493883	0.4550043432771493	0.6040136035762026	0.6343557363176592	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	deepcheck	DeepCheck	competitor	contamination	1000	803	True	772.4672959754683	False	25.704923896847436	24.36801953064153	26.99822948483308	-20.585649024365537	-22.35283304645921	-18.79475508971369	33.9781108824303	32.33735783186402	35.522359650220686	-0.4945772140176057	-0.6474816590401268	-0.3544946551043511	0.2959317946432209	
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	all	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	completeness	1000	100	True	263.0906373819784	False	6.821597663	5.828730753975001	7.89661634045	-2.3196743150000003	-3.832750166125	-0.8022977597750004	10.12152013988582	8.784436003927928	11.472057692398996	0.6106088344247111	0.4890821328950724	0.7143788653967739	0.6564092274525658	
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	all	checkm2	CheckM2 1.0.1	competitor	completeness	1000	100	True	263.0906373819784	False	7.711174946	7.3231657438	8.108415599299999	-4.205359872	-4.852787352349999	-3.594544772725001	9.554544707093887	9.106381677242648	9.993829909245422	0.6530118841617543	0.6211069627652211	0.6845501237348991	0.7262738463975855	
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	all	cocopye	CoCoPyE 0.5.0	competitor	completeness	1000	100	True	263.0906373819784	False	17.778982457851896	17.01573775428759	18.55026207896	-16.843010341708563	-17.739339184798062	-15.988448178150772	20.44003988538765	19.66220905949224	21.2130525812756	-0.5880277408338399	-0.7413137858011128	-0.4528347010630979	0.4933803657123725	
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	all	deepcheck	DeepCheck	competitor	completeness	1000	100	True	263.0906373819784	False	17.811546546440187	16.885400594092534	18.8065261328028	-17.056644122640872	-18.159762084085813	-16.00615042702317	20.31500357864678	19.43987172298791	21.270316225185887	-0.5686585220485736	-0.7513712277078441	-0.4083560363430249	0.5611895168724091	
