set	set_label	status	tier	stratum_kind	stratum	tool	tool_label	tool_role	metric	n	n_clusters	small_n_flag	mean_signed_error	mean_ci_lo	mean_ci_hi	median_signed_error	median_ci_lo	median_ci_hi	hodges_lehmann_signed_error	sd_signed_error	iqr_signed_error	q05	q25	q75	q95	min	max	mae	frac_within_1pp	frac_within_5pp	frac_within_10pp	frac_overestimated	frac_underestimated	bias_direction	mean_ci_excludes_zero	p_wilcoxon_zero_bias_two_sided	p_cluster_bootstrap_zero_mean_bias	note
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	dominant_domain	Archaea	cocopye	CoCoPyE 0.5.0	competitor	contamination	30	24	False	-13.530521544404033	-20.31396428991951	-6.561563903892735	-5.823916845005372	-21.278608876334594	0.0	-13.691555091132507	20.76915768828426	30.280479935163722	-48.386343046257394	-30.280479935163722	0.0	8.450076812415404	-50.26212435068791	28.884418713108218	16.7648634899057	0.3	0.36666666666666664	0.5	0.16666666666666666	0.5666666666666667	under	True	0.0015486940788951365	0.001999000499750125	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	dominant_domain	Archaea	deepcheck	DeepCheck	competitor	contamination	30	24	False	-28.646791721338566	-39.21372893100336	-16.354644082082864	-25.58333233229596	-44.91210611248288	-13.547081448255467	-31.45839898432554	35.42426948639909	61.054775793736766	-75.9963973361927	-61.053013358896564	0.0017624348402023003	0.9059657931327818	-79.74759113666076	81.72280697151926	34.31407276163943	0.26666666666666666	0.26666666666666666	0.3	0.26666666666666666	0.7333333333333333	under	True	0.0002562887966632843	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	dominant_domain	Bacteria	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	completeness	970	779	False	-2.8417913752577317	-3.2042111074895194	-2.504799498387486	-0.5646780000000007	-0.6793200000000041	-0.4943027000000025	-1.2506529999999998	5.1018132739468784	2.510935	-14.728626800000002	-2.7039750000000033	-0.19304000000000343	-0.0679740000000003	-36.37422	-0.009185999999999694	2.8417913752577317	0.5865979381443299	0.8381443298969072	0.9051546391752577	0.0	1.0	under	True	2.596034847013073e-160	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	dominant_domain	Bacteria	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	completeness	970	779	False	-3.016031340206186	-3.3668158349971096	-2.6812501156007484	-0.8983500000000006	-1.0323999999999955	-0.761376249999995	-1.622249999999994	4.832953507859381	3.080100000000005	-13.804685	-3.3600500000000046	-0.2799499999999995	-0.08394500000000137	-33.9816	-0.01670000000000016	3.016031340206186	0.5247422680412371	0.8247422680412371	0.9061855670103093	0.0	1.0	under	True	2.5960131118541713e-160	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	dominant_domain	Bacteria	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	completeness	970	779	False	-0.6963169082474227	-0.9060058549695768	-0.5040798471927355	-0.040554999999997676	-0.049639999999996576	-0.03361499999999751	-0.07672999999999774	3.0242084555396302	0.16149950000000501	-2.5447817499999967	-0.17380950000000084	-0.012309999999995824	-0.0028880000000008027	-37.604675	-4.5999999997548e-05	0.6963169082474227	0.9154639175257732	0.9649484536082474	0.9814432989690721	0.0	1.0	under	True	2.595980509454957e-160	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	dominant_domain	Bacteria	checkm2	CheckM2 1.0.1	competitor	completeness	970	779	False	-0.4497113402061858	-0.6057877660332632	-0.31703850834994685	0.0	0.0	0.0	0.0	2.2200461414461423	0.0	-1.8829999999999953	0.0	0.0	0.0	-30.22	0.0	0.4497113402061858	0.9257731958762887	0.9731958762886598	0.9896907216494846	0.0	0.2381443298969072	under	True	9.543091837033639e-40	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	dominant_domain	Bacteria	cocopye	CoCoPyE 0.5.0	competitor	completeness	970	779	False	-0.6220179363933108	-0.8358458141230647	-0.4370183847355987	0.0	0.0	0.0	-0.03532486873832141	3.236048806340113	0.13139069874508635	-1.8707797856746948	-0.13139069874508635	0.0	0.0	-42.455472290970896	0.0	0.6220179363933108	0.931958762886598	0.9711340206185567	0.9855670103092784	0.0	0.35876288659793815	under	True	8.608336444783542e-59	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	dominant_domain	Bacteria	deepcheck	DeepCheck	competitor	completeness	970	779	False	4.570598397795687	3.961983469480324	5.249775667947655	-0.16592788696288352	-0.348785400390625	0.05278778076171875	2.4972877502441406	10.290181936279213	9.404596328735341	-4.851510238647461	-0.9067459106445206	8.49785041809082	27.14642791748047	-32.07209777832031	51.4661865234375	6.685789796494946	0.3628865979381443	0.6453608247422681	0.7690721649484537	0.4742268041237113	0.5257731958762887	over	True	9.8193134654075e-16	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	dominant_domain	Bacteria	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	contamination	970	779	False	-0.15614636170728047	-0.6180409820660213	0.27155952851308773	0.2199233814949687	0.0011739141987092694	0.32102764	-0.35379911907532247	6.782367524023257	5.302097110952118	-9.588394545812186	-3.3479802835496786	1.9541168274024394	11.06049926364211	-43.19358216570818	38.877534858400296	4.449473633008148	0.2556701030927835	0.6958762886597938	0.8969072164948454	0.5309278350515464	0.4690721649484536	under	False	0.048252799234838745	0.4527736131934033	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	dominant_domain	Bacteria	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	contamination	970	779	False	1.7962663077896266	1.2888817796081486	2.2431758561468524	1.1409181068885847	0.9057	1.3981	1.304557835887267	7.531528003208749	6.876047162180469	-8.751455789369066	-2.1113971621804675	4.764650000000001	13.807246483405695	-37.82001216570818	49.0122	5.123553404190534	0.16907216494845362	0.6298969072164948	0.877319587628866	0.6216494845360825	0.3783505154639175	over	True	5.233487993244746e-13	0.0009995002498750624	
