source	quantity	set	tool	metric	published	recomputed	recomputed_ci_lo	recomputed_ci_hi	difference	agrees_within_tolerance	published_inside_recomputed_ci	note	recomputed_pearson_r2
S2b	MAE	set_B_v2	cocopye	contamination	19.14	12.095051584950191	11.225719489121492	13.026354522879034	-7.044948415049809	False	False		
S2b	MAE	set_C	cocopye	contamination	34.07	34.97252165546337	33.39318920735125	36.55083487157481	0.9025216554633673	False	True		
S2b	MAE	set_D	cocopye	contamination	25.73	23.22881308549918	21.96469193525131	24.51544867788506	-2.5011869145008205	False	False		
S2b	MAE	set_E	cocopye	contamination	21.6	13.522513429383515	12.618682951076057	14.496593014915993	-8.077486570616486	False	False		
S2b	MAE	set_A_v2	deepcheck	contamination	0.4	0.404035914644599	0.3717926938627589	0.4355011395700983	0.004035914644598959	True	True		
S2b	MAE	set_B_v2	deepcheck	contamination	25.7	25.704923896847436	24.34716347002204	27.09590014050012	0.004923896847436993	True	True		
S2b	MAE	set_C	deepcheck	contamination	44.56	44.55567753814589	42.8650971443121	46.25610708617699	-0.004322461854108894	True	True		
S2b	MAE	set_D	deepcheck	contamination	41.77	41.7739802882366	40.1250488360716	43.45664691395225	0.003980288236597573	True	True		
S2b	MAE	set_E	deepcheck	contamination	25.43	25.43113911968649	23.88441042743308	27.10100483973467	0.0011391196864920516	True	True		
S2c	MAE	POOLED_manuscript_5_sets	magicc_v4	completeness	4.0	3.998788406391736	3.8345865550234746	4.157762331784662	-0.00121159360826395	True	True		
S2c	MAE	POOLED_manuscript_5_sets	magicc_v4	contamination	5.53	5.533953150306266	5.326769264115859	5.756109090510148	0.003953150306265307	True	True		
S2c	MAE	POOLED_manuscript_5_sets	checkm2	completeness	6.0	6.002811375961961	5.778117712761833	6.242272542873598	0.0028113759619605716	True	True		
S2c	MAE	POOLED_manuscript_5_sets	checkm2	contamination	23.14	23.14080418497385	22.41425273567973	23.840647653473667	0.0008041849738482654	True	True		
S2c	MAE	POOLED_manuscript_5_sets	cocopye	completeness	6.62	7.027337968677023	6.764875072577705	7.294208986550906	0.4073379686770231	False	False		
S2c	MAE	POOLED_manuscript_5_sets	cocopye	contamination	20.26	16.959102434733403	16.357068809973054	17.529634021768718	-3.300897565266599	False	False		
S2c	MAE	POOLED_manuscript_5_sets	deepcheck	completeness	10.1	10.10071923083457	9.81227017889288	10.388032542631532	0.0007192308345711496	True	True		
S2c	MAE	POOLED_manuscript_5_sets	deepcheck	contamination	27.57	27.5739513515122	26.742015429736544	28.35087040304188	0.003951351512199608	True	True		
progress_v5	MAE	set_A_v2	magicc_v5	completeness	2.18	2.1766318366134065	1.9277441429974125	2.435865381542502	-0.0033681633865936256	True	True		
progress_v5	MAE	set_A_v2	magicc_v5	contamination	0.83	0.8285294344272	0.6429887833268665	1.0594770411788443	-0.0014705655728000089	True	True		
progress_v5	MAE	set_B_v2	magicc_v5	completeness	2.97	2.972426611	2.6474062363997954	3.3182404214419767	0.0024266109999997454	True	True		
progress_v5	MAE	set_B_v2	magicc_v5	contamination	4.45	4.453452160275677	4.121883812189373	4.792029895134867	0.003452160275676519	True	True		
progress_v5	MAE	set_C	magicc_v5	completeness	3.15	3.153890706633181	2.8941616623273334	3.411516591354186	0.003890706633181029	True	True		
progress_v5	MAE	set_C	magicc_v5	contamination	7.97	7.974122201377205	7.490692329672567	8.485530127479255	0.0041222013772053145	True	True		
