scope	tool	tool_label	metric	error_kind	covariate	n	n_clusters	spearman_rho	rho_ci_lo	rho_ci_hi	p_cluster_bootstrap
set_C_clean	cocopye	CoCoPyE 0.5.0	completeness	signed	log10_dominant_genome_size_mbp	1000	100	0.09037488404237028	0.012198208488824705	0.1639843296647605	0.028985507246376812
set_C_clean	cocopye	CoCoPyE 0.5.0	contamination	abs	log10_dominant_genome_size_mbp	1000	100	-0.032921742588336	-0.09780112348941124	0.03169581739340387	0.33983008495752126
set_C_clean	cocopye	CoCoPyE 0.5.0	contamination	signed	log10_dominant_genome_size_mbp	1000	100	0.02850707964244845	-0.03542218236784487	0.09496232097889054	0.3868065967016492
set_C_clean	deepcheck	DeepCheck	completeness	abs	log10_dominant_genome_size_mbp	1000	100	-0.14853846137428678	-0.24491375209851388	-0.052972342593637256	0.0009995002498750624
set_C_clean	deepcheck	DeepCheck	completeness	signed	log10_dominant_genome_size_mbp	1000	100	0.15281223720520243	0.05869609032135922	0.24833315941341988	0.0029985007496251873
set_C_clean	deepcheck	DeepCheck	contamination	abs	log10_dominant_genome_size_mbp	1000	100	-0.03257552510392886	-0.09885456223019075	0.03277126887109415	0.33183408295852074
set_C_clean	deepcheck	DeepCheck	contamination	signed	log10_dominant_genome_size_mbp	1000	100	0.032508561722196044	-0.032824740792841034	0.09885314288364479	0.33183408295852074
set_D_clean	magicc_v5	MAGICC v5 (released, v0.3.0)	completeness	abs	log10_dominant_genome_size_mbp	1000	100	0.007375692481506918	-0.10427868334054294	0.12271615398916379	0.8785607196401799
set_D_clean	magicc_v5	MAGICC v5 (released, v0.3.0)	completeness	signed	log10_dominant_genome_size_mbp	1000	100	0.200474444205051	0.07245350667550476	0.3315376389966604	0.005997001499250375
set_D_clean	magicc_v5	MAGICC v5 (released, v0.3.0)	contamination	abs	log10_dominant_genome_size_mbp	1000	100	-0.145515868729655	-0.22522053470995823	-0.06202742085032485	0.001999000499750125
set_D_clean	magicc_v5	MAGICC v5 (released, v0.3.0)	contamination	signed	log10_dominant_genome_size_mbp	1000	100	0.1667475809571353	0.060307170677296	0.26835179315080815	0.00399800099950025
set_D_clean	checkm2	CheckM2 1.0.1	completeness	abs	log10_dominant_genome_size_mbp	1000	100	0.2617836511620835	0.19777935252603768	0.3170291448349231	0.0009995002498750624
set_D_clean	checkm2	CheckM2 1.0.1	completeness	signed	log10_dominant_genome_size_mbp	1000	100	0.3677020168388383	0.2899384759974904	0.4341975848037615	0.0009995002498750624
set_D_clean	checkm2	CheckM2 1.0.1	contamination	abs	log10_dominant_genome_size_mbp	1000	100	-0.19542782934481753	-0.2577629709433743	-0.12573678197870497	0.0009995002498750624
