set	set_label	status	tier	subset	tool	criterion	tau	n	n_clusters	n_true_pass	n_true_fail	n_false_pass	n_false_fail	false_pass_rate	false_pass_rate_ci_lo	false_pass_rate_ci_hi	false_fail_rate	false_fail_rate_ci_lo	false_fail_rate_ci_hi
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	checkm2	contamination	10.0	1000	803	202	798	147	0	0.18421052631578946	0.15690690205366142	0.2133181606382675	0.0	0.0	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	checkm2	completeness	50.0	1000	803	1000	0	0	0				0.0	0.0	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	checkm2	completeness	90.0	1000	803	1000	0	0	10				0.01	0.004056692376143414	0.01686591758969989
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	cocopye	contamination	5.0	1000	803	200	800	1	3	0.00125	0.0	0.003861128249014846	0.015	0.0	0.033707865168539325
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	cocopye	contamination	10.0	1000	803	202	798	12	0	0.015037593984962405	0.007453184963703898	0.02386934673366834	0.0	0.0	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	cocopye	completeness	50.0	1000	803	1000	0	0	0				0.0	0.0	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	cocopye	completeness	90.0	1000	803	1000	0	0	14				0.014	0.007707129094412331	0.022
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	deepcheck	contamination	5.0	1000	803	200	800	132	0	0.165	0.13959171523469324	0.191753130672059	0.0	0.0	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	deepcheck	contamination	10.0	1000	803	202	798	326	0	0.40852130325814534	0.37547892720306514	0.44501551681117835	0.0	0.0	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	deepcheck	completeness	50.0	1000	803	1000	0	0	0				0.0	0.0	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	deepcheck	completeness	90.0	1000	803	1000	0	0	14				0.014	0.007	0.021891638517283964
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	magicc_v5	contamination	5.0	1000	1000	60	940	25	4	0.026595744680851064	0.016967126193001062	0.03756018501821326	0.06666666666666667	0.015618990384615396	0.1384999999999998
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	magicc_v5	contamination	10.0	1000	1000	117	883	24	4	0.027180067950169876	0.01700632121478263	0.03824737522240384	0.03418803418803419	0.008064516129032258	0.07317632579995521
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	magicc_v5	completeness	50.0	1000	1000	1000	0	0	0				0.0	0.0	0.0
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	magicc_v5	completeness	90.0	1000	1000	461	539	39	12	0.07235621521335807	0.051624643617781345	0.0957476803711406	0.026030368763557483	0.012472079517534066	0.04185022026431718
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	magicc_v4	contamination	5.0	1000	1000	60	940	20	5	0.02127659574468085	0.012738853503184714	0.03085601849742582	0.08333333333333333	0.017849310776942368	0.16176470588235295
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	magicc_v4	contamination	10.0	1000	1000	117	883	20	5	0.022650056625141562	0.013589649641544918	0.03277021709503425	0.042735042735042736	0.009006998069498073	0.08412473040977707
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	magicc_v4	completeness	50.0	1000	1000	1000	0	0	0				0.0	0.0	0.0
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	magicc_v4	completeness	90.0	1000	1000	461	539	43	12	0.07977736549165121	0.05659521282060064	0.10261673524898868	0.026030368763557483	0.012577958474776982	0.040774724260464246
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	magicc_v3	contamination	5.0	1000	1000	60	940	13	7	0.013829787234042552	0.006534361317342474	0.021436802230103635	0.11666666666666667	0.044444444444444446	0.203125
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	magicc_v3	contamination	10.0	1000	1000	117	883	16	4	0.01812004530011325	0.009290447322309724	0.02730531092266919	0.03418803418803419	0.007874015748031496	0.06818667443667441
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	magicc_v3	completeness	50.0	1000	1000	1000	0	0	0				0.0	0.0	0.0
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	magicc_v3	completeness	90.0	1000	1000	461	539	25	20	0.04638218923933209	0.029789650863804883	0.06642681426814265	0.04338394793926247	0.02473618350056254	0.06402120084393129
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	checkm2	contamination	5.0	1000	1000	60	940	458	0	0.48723404255319147	0.45569449010904706	0.5175737643300131	0.0	0.0	0.0
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	checkm2	contamination	10.0	1000	1000	117	883	729	0	0.82559456398641	0.8002282460805838	0.8499441580756013	0.0	0.0	0.0
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	checkm2	completeness	50.0	1000	1000	1000	0	0	51				0.051	0.038	0.065
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	checkm2	completeness	90.0	1000	1000	461	539	15	180	0.027829313543599257	0.014922609176340524	0.04283253773034269	0.39045553145336226	0.34606110478641783	0.4345133936597351
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	cocopye	contamination	5.0	1000	1000	60	940	110	38	0.11702127659574468	0.09708635451231003	0.13789747457816515	0.6333333333333333	0.5079246624022743	0.7543942403177756
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	cocopye	contamination	10.0	1000	1000	117	883	240	42	0.2718006795016987	0.2428078250863061	0.30102897921633665	0.358974358974359	0.2719796610169492	0.4471825063078215
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	cocopye	completeness	50.0	1000	1000	1000	0	0	121				0.121	0.101	0.141
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	cocopye	completeness	90.0	1000	1000	461	539	0	454	0.0	0.0	0.0	0.9848156182212582	0.972476578292645	0.9956043956043956
