dataset	tool	distance_rank	n	n_clusters	cont_bias	cont_bias_lo	cont_bias_hi	cont_mae	cont_mae_lo	cont_mae_hi	comp_bias	comp_bias_lo	comp_bias_hi	comp_mae	comp_mae_lo	comp_mae_hi	slope	slope_lo	slope_hi	cont_r2	denominator
marine	MAGICC_V5	phylum	170	96	0.019412901619977177	-1.088840903425516	1.261172142004457	4.14424921132646	3.4001915345035516	4.89131988962914	1.1184128912005717	-0.4414418348305838	2.772545384223904	5.881629323256326	4.910455308751651	6.896997060222367	1.0734074907848985	0.9675932026896674	1.2010973134968657	0.4318967485270988	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	CheckM2	species	375	205	-4.436543385890165	-4.934299430923732	-3.9248954564562952	5.273857262046317	4.854195132544949	5.678832259164424	-3.689979952904942	-4.611764253506206	-2.677945204219583	7.162835279760271	6.55085651491901	7.776298142036664	0.38867442011240944	0.3371946579320501	0.447515480765892	-0.04206895196695637	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	CheckM2	genus	375	163	-4.034228295418705	-4.559977230467133	-3.5149444408525397	5.042062955473788	4.616664287845562	5.478890363264985	-4.207600627278259	-5.1624237324540125	-3.3047256781449925	7.35902482073932	6.687709572135683	8.085931526273585	0.47651607112372935	0.4132197258155649	0.5421347253010946	0.16282420284333343	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	CheckM2	family	375	178	-4.772267937702054	-5.285124351604586	-4.245819763553884	5.463887796798807	5.015572962220792	5.915083866071264	-2.4953453202635654	-3.564218395395779	-1.457535198850563	6.466244729750643	5.8441502140974	7.119399325936149	0.42929796601480863	0.35837753902743164	0.4948564507082771	-0.07918741257473472	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	CheckM2	order	375	155	-5.822530594436983	-6.412166689440625	-5.243638856157355	6.364524061598876	5.869176882996079	6.880578098911401	-4.454134716905163	-5.389708479674442	-3.484864399870317	6.826355475608182	6.132643612778688	7.512443504790438	0.2759646224610768	0.22432770139749567	0.3294672406705579	-0.4983713454369014	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	CheckM2	class	375	153	-5.717414954621061	-6.267861790995153	-5.173914402162448	6.245223757938296	5.751822693843215	6.736681811495173	-4.196919326105428	-5.239888908578121	-3.1642842130255637	7.146648832751017	6.431905462345691	7.936286823190066	0.2844452293574711	0.24086025425685442	0.32982167203368057	-0.40838349308336386	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	CheckM2	phylum	375	162	-6.69784539597496	-7.326844598336836	-6.0579810506217715	7.120917300125123	6.544941774280839	7.680700184791088	-6.026639230348238	-7.258570453766537	-4.930450460771184	7.972355994999775	7.101605277769464	8.966293398702918	0.16054812226723153	0.1214122436744326	0.20448492954127162	-0.8830219732987836	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	CoCoPyE	species	375	205	19.89877675552076	18.41908026739761	21.394263291279874	19.979012730366517	18.522225579174982	21.46221645701698	8.0531386062342	7.192539521545958	9.016863700289738	8.293156800609282	7.454082877820963	9.224017079656296	1.6134639916637705	1.4370748833671554	1.8094653237551028	-12.163479453025968	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	CoCoPyE	genus	375	163	18.87739417028267	17.502143224918377	20.317108849831865	19.005934220950614	17.642738152630535	20.409941940350375	8.069972403462545	7.298531310121051	8.898980966448066	8.41644156853815	7.676561457594823	9.20934112950052	1.1456436789446176	0.9934152739654197	1.3085799983098052	-9.107575520132048	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	CoCoPyE	family	375	178	18.5279201679983	16.936643394669705	20.10479703207589	18.614840516213203	17.056438188314097	20.188458564402808	7.690855949694642	6.76038262143657	8.690597503773564	8.138617623364723	7.2341233141847745	9.072257317646203	1.546866074398041	1.3208647530458284	1.7599368654985956	-10.384832496419587	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
